Time,RAVEN_sample_ID,DNI_original,DNI_fourier,DNI_nofourier,DNI_zerofilter,DNI_gaussianed,Temp_original,Temp_fourier,Temp_nofourier,Temp_gaussianed
1350.0,0,0.0,0.0,0.0,0.0,-0.322037927457,4.0,-7.95136736201,11.951367362,1.49216301919
1380.0,0,0.0,0.0,0.0,0.0,-0.322037927457,4.0,-8.94011528375,12.9401152837,1.69501833882
1410.0,0,0.0,0.0,0.0,0.0,-0.322037927457,3.0,-9.6926342437,12.6926342437,1.645034268
1440.0,0,0.0,0.0,0.0,0.0,-0.322037927457,3.0,-10.1878643084,13.1878643084,1.75708964862
1470.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,-10.412858812,12.412858812,1.58616741906
1500.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,-10.3633133317,12.3633133317,1.57637294287
1530.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,-10.0436733961,12.0436733961,1.51119344191
1560.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,-9.46681675796,11.466816758,1.39675989229
1590.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,-8.65333212645,10.6533321265,1.26421762377
1620.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,-7.63044082735,9.63044082735,1.08653829797
1650.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,-6.43062930952,8.43062930952,0.919101836363
1680.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,-5.09007733289,7.09007733289,0.746719692259
1710.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,-3.64697795223,5.64697795223,0.568580431513
1740.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,-2.139850328,4.139850328,0.330071804339
1770.0,0,0.0,0.0,0.0,0.0,-0.322037927457,1.0,-0.605944658338,1.60594465834,-0.171338168717
1800.0,0,0.0,0.0,0.0,0.0,-0.322037927457,1.0,0.920169710277,0.0798302897234,-0.541544513888
1830.0,0,0.0,0.0,0.0,0.0,-0.322037927457,2.0,2.40775607481,-0.407756074813,-0.656326605553
1860.0,0,52.1713996105,227.956655746,-175.785256136,-175.785256136,-1.31422477615,3.0,3.83074420245,-0.830744202455,-0.753086458343
1890.0,0,-111.298060346,0.0,-111.298060346,0.0,-0.322037927457,5.0,5.16821096607,-0.168210966073,-0.597563455349
1920.0,0,-57.9398035188,0.0,-57.9398035188,0.0,-0.322037927457,7.0,6.4044972347,0.595502765295,-0.42148986444
1950.0,0,-36.5437396773,0.0,-36.5437396773,0.0,-0.322037927457,8.0,7.52897547699,0.471024523012,-0.448992204601
1980.0,0,-29.8922872823,0.0,-29.8922872823,0.0,-0.322037927457,10.0,8.53550617811,1.46449382189,-0.205712455941
2010.0,0,-28.0707336186,0.0,-28.0707336186,0.0,-0.322037927457,11.0,9.42164183593,1.57835816407,-0.178024886709
2040.0,0,4.7868075692,236.933170325,-232.146362756,-232.146362756,-1.91985777864,13.0,10.1876535904,2.81234640957,0.0813777033737
2070.0,0,3.11048993642,239.826693294,-236.716203358,-236.716203358,-1.9898114012,14.0,10.8354663582,3.16453364182,0.150043402701
2100.0,0,-0.226422145304,0.0,-0.226422145304,0.0,-0.322037927457,16.0,11.3675929746,4.63240702535,0.414767357029
2130.0,0,-0.718222159116,0.0,-0.718222159116,0.0,-0.322037927457,16.0,11.7861560037,4.21384399634,0.344333916942
2160.0,0,-1.71103110771,0.0,-1.71103110771,0.0,-0.322037927457,17.0,12.0920777135,4.90792228648,0.457941113668
2190.0,0,-0.20404200502,0.0,-0.20404200502,0.0,-0.322037927457,17.0,12.2845048368,4.71549516322,0.4283792692
2220.0,0,14.1507139175,280.184036161,-266.033322243,-266.033322243,-2.41972365011,17.0,12.3605161127,4.63948388726,0.415923699008
2250.0,0,17.850215806,289.816269997,-271.966054191,-271.966054191,-2.54038847771,17.0,12.3151385722,4.68486142775,0.423351590468
2280.0,0,528.025847409,297.768822617,230.257024792,230.257024792,1.38859355966,17.0,12.1416746124,4.85832538765,0.450370752497
2310.0,0,519.256661455,302.904872119,216.351789336,216.351789336,1.37155959201,15.0,11.8323178028,3.16768219724,0.150633857986
2340.0,0,467.697433658,304.139753709,163.557679949,163.557679949,1.31946795202,14.0,11.3790127594,2.62098724057,0.0422192105167
2370.0,0,406.48533522,300.52758757,105.95774765,105.95774765,1.27659613708,12.0,10.7744949042,1.22550509577,-0.263991453562
2400.0,0,249.51812485,291.340625307,-41.8225004573,-41.8225004573,-0.528686778315,10.0,10.0134308818,-0.0134308817919,-0.562346233911
2430.0,0,52.8483872326,276.135652312,-223.28726508,-223.28726508,-1.80454187105,9.0,9.0935709002,-0.0935709001986,-0.580417452576
2460.0,0,0.0,0.0,0.0,0.0,-0.322037927457,8.0,8.01682099201,-0.0168209920103,-0.563106939017
2490.0,0,0.0,0.0,0.0,0.0,-0.322037927457,7.0,6.79014642337,0.209853576634,-0.510114871284
2520.0,0,0.0,0.0,0.0,0.0,-0.322037927457,7.0,5.4262270275,1.5737729725,-0.179137059697
2550.0,0,0.0,0.0,0.0,0.0,-0.322037927457,6.0,3.9438004891,2.0561995109,-0.0741491820942
2580.0,0,0.0,0.0,0.0,0.0,-0.322037927457,6.0,2.36764954585,3.63235045415,0.235007073114
2610.0,0,0.0,0.0,0.0,0.0,-0.322037927457,6.0,0.728212367519,5.27178763248,0.514307469328
2640.0,0,0.0,0.0,0.0,0.0,-0.322037927457,6.0,-0.93917955035,6.93917955035,0.730825452202
2670.0,0,0.0,0.0,0.0,0.0,-0.322037927457,6.0,-2.59540647932,8.59540647932,0.940952916646
2700.0,0,0.0,0.0,0.0,0.0,-0.322037927457,6.0,-4.19895550396,10.198955504,1.18328866723
2730.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-5.70753218522,10.7075321852,1.27228270214
2760.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-7.07979982951,12.0797998295,1.5187760398
2790.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-8.27714738561,13.2771473856,1.78023966291
2820.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-9.26538343594,14.2653834359,2.02080914296
2850.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-10.0162568734,15.0162568734,2.2306339121
2880.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-10.5087144801,15.5087144801,2.36462754481
2910.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-10.7298211317,15.7298211317,2.44043896013
