Time,DNI,Temp,RH
7440,0,-1,42.33
7470,0,-1,39.35
7500,0,-1,38.9
7530,0,-1,38.89
7560,0,-1,39.03
7590,0,0,39.04
7620,49.22412811,0,38.88
7650,271.9071974,0,38.89
7680,438.3351088,0,32.64
7710,767.5001863,1,30.38
7740,842.492748,3,23.9
7770,354.5152686,4,22.28
7800,-13.46592958,6,18.91
7830,455.0227188,6,18.9
7860,611.8799319,6,17.71
7890,623.6332256,6,17.71
7920,696.9622496,6,18.18
7950,891.9046606,6,18.18
7980,892.8670198,6,18.49
8010,777.4468225,6,18.48
8040,757.9611388,6,19.52
8070,798.3625036,5,20.91
8100,607.6369357,4,37.51
8130,664.9709214,3,40.22
8160,450.7872144,3,41.24
8190,85.72408226,2,41.24
8220,0,2,40.02
8250,0,2,42.97
8280,0,2,43.34
8310,0,2,43.34
8340,0,2,43.94
8370,0,2,43.93
8400,0,2,45.15
8430,0,2,45.15
8460,0,2,46.92
8490,0,1,46.91
8520,0,1,48.63
8550,0,1,48.63
8580,0,2,50.23
8610,0,2,50.23
8640,0,2,51.44
8670,0,2,51.44
8700,0,2,48.14
8730,0,2,48.13
8760,0,2,48.68
8790,0,2,48.67
8820,0,3,49.82
8850,0,3,49.83
8880,0,3,51.8
8910,0,3,51.81
8940,0,3,49.05
8970,0,3,49.05
9000,0,3,48.62
9030,0,3,48.63
9060,49.24560762,3,49.57
9090,236.4708953,4,49.59
9120,378.9743085,5,48.75
9150,274.114027,5,45.5
9180,335.0808435,6,38.08
9210,372.091047,7,35.57
9240,652.1122423,8,33.05
9270,387.6181475,9,30.9
9300,55.508588,11,30.14
9330,0.313794611,11,28.21
9360,-2.28157461,12,27.33
9390,-1.231313684,12,27.33
9420,1.885670713,13,27.7
9450,2.692378858,13,27.7
9480,4.55322268,13,27.83
9510,4.515661846,12,29.72
9540,5.775564928,11,41.98
9570,-9.96605789,9,48
9600,-47.10491198,7,45.54
9630,-107.2509511,6,48.77
9660,0,6,45.19
9690,0,5,48.42
9720,0,5,52.62
9750,0,4,56.44
9780,0,3,54.71
9810,0,3,58.71
9840,0,3,57.61
9870,0,2,57.61
9900,0,2,56.81
9930,0,1,60.99
9960,0,1,60.17
9990,0,1,64.65
10020,0,1,64.19
10050,0,0,64.2
10080,0,0,64.11
10110,0,0,64.12
10140,0,0,64.14
10170,0,0,68.93
10200,0,0,68.91
10230,0,0,68.9
10260,0,0,69.31
10290,0,0,69.31
10320,0,0,70.07
10350,0,0,70.09
10380,0,0,71.88
10410,0,0,71.9
10440,0,0,72.79
10470,0,0,67.75
10500,49.54981325,1,66.18
10530,-70.58745987,3,61.67
10560,-12.17726441,5,55.81
10590,8.855029329,6,52.08
10620,15.75447476,8,45.24
10650,16.72893852,9,42.28
10680,28.73827611,10,37.07
10710,26.25231816,11,37.05
10740,399.1700082,12,35.33
10770,427.0232401,12,35.32
10800,417.5011015,13,33.8
10830,530.6580292,13,33.8
10860,30.92948584,13,34.49
10890,541.9639044,13,34.48
10920,32.17297922,13,35.25
10950,338.6988465,12,37.63
10980,188.9461068,11,44.58
11010,465.1264011,9,50.89
11040,317.032846,7,54.73
11070,106.4160696,6,58.59
11100,0,6,55.48
11130,0,5,59.42
11160,0,5,58.67
11190,0,4,62.89
11220,0,4,62.3
11250,0,4,66.81
11280,0,4,66.42
11310,0,3,66.43
11340,0,3,66.21
11370,0,3,71.04
11400,0,3,70.86
11430,0,2,70.85
11460,0,2,70.56
11490,0,2,75.76
11520,0,2,75.33
11550,0,1,75.33
11580,0,1,75.07
11610,0,1,75.05
11640,0,1,75
11670,0,1,80.56
11700,0,1,80.74
11730,0,0,80.75
11760,0,0,81.15
11790,0,0,81.17
11820,0,0,81.53
11850,0,0,87.65
11880,0,0,87.66
11910,0,1,81.58
11940,50.14070871,2,71.22
11970,-118.2690695,4,66.39
12000,-54.12138859,6,58.68
12030,-31.27837255,7,54.78
12060,-21.4877339,9,47.98
12090,-19.57231126,10,44.85
12120,-3.589016374,11,37.83
12150,-5.075934752,12,35.42
12180,-10.13698815,13,30.86
12210,353.7603292,14,30.84
12240,372.3089499,15,27.02
12270,546.5712117,15,27.02
12300,554.9967623,15,24.54
12330,495.2593556,15,24.53
12360,455.8178352,15,24.5
12390,467.908619,14,27.85
12420,-22.85639722,13,40.73
12450,-41.75962787,11,46.45
12480,-89.81512793,9,43.21
12510,-155.309241,8,46.21
12540,0,8,44.96
12570,0,7,48.13
12600,0,6,46.64
12630,0,5,49.95
12660,0,5,49.51
12690,0,4,53.05
12720,0,4,52.5
12750,0,3,56.29
12780,0,3,56.33
12810,0,3,60.44
12840,0,3,60.92
12870,0,2,60.91
12900,0,2,61.34
12930,0,2,65.86
12960,0,2,66.08
12990,0,1,66.08
13020,0,1,65.38
13050,0,1,65.37
13080,0,1,63.57
13110,0,1,68.27
13140,0,1,66.28
13170,0,1,66.27
13200,0,1,64.55
13230,0,1,64.55
13260,0,1,63.16
13290,0,0,63.16
13320,0,0,61.9
13350,0,1,57.63
13380,51.0247933,3,56.47
13410,358.4238269,5,49.09
13440,556.1395749,7,42.95
13470,475.7119435,8,40.12
13500,452.3526548,9,35.32
13530,-21.81407951,10,33.04
13560,-6.870909305,12,29.37
13590,-7.367839284,13,27.51
13620,-11.41362793,14,25.2
13650,-11.47620567,14,25.19
13680,-13.85938192,15,23.36
13710,-12.49325815,15,23.35
13740,-6.914206245,16,22.98
13770,-5.423299686,15,22.97
13800,-6.514748075,15,23.01
13830,-6.858383799,14,24.52
13860,-15.63674617,13,36.76
13890,-31.63172064,11,41.87
13920,-81.66368276,9,42.5
13950,-149.4679008,8,45.44
13980,0,8,43.88
14010,0,7,46.96
14040,0,6,45.92
14070,0,5,49.19
14100,0,5,48.72
14130,0,5,52.21
14160,0,5,51.73
14190,0,4,51.73
14220,0,4,51.89
14250,0,3,55.64
14280,0,3,56.13
14310,0,2,60.23
14340,0,2,60.84
14370,0,2,65.32
14400,0,2,65.76
14430,0,1,65.75
14460,0,1,65.59
14490,0,1,70.44
14520,0,1,69.52
14550,0,1,69.51
14580,0,1,68.27
14610,0,0,68.27
14640,0,0,67.06
14670,0,0,67.06
14700,0,0,65.99
14730,0,0,65.99
14760,0,0,65.08
14790,0,1,60.6
14820,52.21109085,2,58.79
14850,-72.51203173,4,51.12
14880,-13.39729661,6,44.96
14910,7.823801756,7,42
14940,14.27390097,9,37.55
14970,16.00214112,10,35.12
15000,16.89124303,12,31.03
15030,15.3753186,13,29.06
15060,15.33881925,14,27.34
15090,14.31233717,14,27.33
15120,14.9947325,15,25.8
15150,15.46311593,15,25.8
15180,10.19487302,16,26.11
15210,11.91391969,15,26.1
15240,13.17272615,15,26.44
15270,14.39455052,14,28.18
15300,9.600416859,13,38.98
15330,-5.497113508,11,44.41
15360,-54.52690162,10,43.4
15390,141.8936168,9,46.39
15420,0,9,44.93
15450,0,8,48.08
15480,0,8,47.27
15510,0,7,50.61
15540,0,7,49.49
15570,0,6,53.01
15600,0,6,52.26
15630,0,5,52.26
15660,0,5,51.74
15690,0,5,55.46
15720,0,5,54.86
15750,0,4,54.86
15780,0,4,54.64
15810,0,3,58.59
15840,0,3,58.8
15870,0,3,63.09
15900,0,3,63.28
15930,0,2,63.28
15960,0,2,62.97
15990,0,2,67.6
16020,0,2,66.83
16050,0,1,66.83
16080,0,1,65.79
16110,0,1,65.8
16140,0,1,64.76
16170,0,1,64.77
16200,0,1,63.78
16230,0,2,59.43
16260,53.71110742,3,57.97
16290,-87.08090673,5,50.47
16320,-24.73546205,7,44.05
16350,-2.945255907,8,41.18
16380,5.274097378,10,39.18
16410,6.874749442,11,36.66
16440,17.69601125,13,33.23
16470,16.15219881,13,31.13
16500,16.11904402,14,29.94
16530,16.1246303,14,29.93
16560,16.86989964,15,28.66
16590,17.43881906,15,28.65
16620,22.32229161,16,29.01
16650,24.26900711,15,29.01
16680,24.87778783,15,29.2
16710,25.66420469,14,31.12
16740,21.85059477,14,41.16
16770,7.637275552,12,46.89
16800,-39.41812637,11,45.9
16830,-118.2754115,10,49.07
