#1	
"double Cosine(6247, 2)"	
1076	0.976068
1076.5	0.996481
1077	1
1077.5	1
1078	1
1078.5	0
1079	0
1079.5	0
1080	0
1080.5	0
1081	0
1081.5	0
1082	0
1082.5	0
1083	1
1083.5	0.997445
1084	0.978777
1084.5	0.94718
1085	0.911635
1085.5	0.882662
1086	0.870924
1086.5	0.882117
1087	0.910484
1087.5	0.945769
1088	0.9776
1088.5	0.996994
1089	1
1089.5	1
1090	1
1090.5	0
1091	0
1091.5	0
1092	0
1092.5	0
1093	0
1093.5	0
1094	0
1094.5	0
1095	1
1095.5	0.997787
1096	0.979844
1096.5	0.948982
1097	0.914147
1097.5	0.885755
1098	0.874308
1098.5	0.885408
1099	0.913322
1099.5	0.947927
1100	0.978951
1100.5	0.997464
1101	1
1101.5	1
1102	1
1102.5	0
1103	0
1103.5	0
1104	0
1104.5	0
1105	0
1105.5	0
1106	0
1106.5	0
1107	0
1107.5	0.998103
1108	0.980877
1108.5	0.95075
1109	0.91662
1109.5	0.888801
1110	0.87764
1110.5	0.888642
1111	0.916104
1111.5	0.950034
1112	0.980254
1112.5	0.997893
1113	1
1113.5	1
1114	1
1114.5	0
1115	0
1115.5	0
1116	0
1116.5	0
1117	0
1117.5	0
1118	0
1118.5	0
1119	1
1119.5	0.998394
1120	0.981883
1120.5	0.952483
1121	0.919051
1121.5	0.8918
1122	0.880919
1122.5	0.891819
1123	0.918831
1123.5	0.952089
1124	0.98151
1124.5	0.998281
1125	1
1125.5	1
1126	1
1126.5	0
1127	0
1127.5	0
1128	0
1128.5	0
1129	0
1129.5	0
1130	0
1130.5	0
1131	1
1131.5	0.99866
1132	0.982859
1132.5	0.954181
1133	0.921441
1133.5	0.89475
1134	0.884144
1134.5	0.894939
1135	0.921501
1135.5	0.954091
1136	0.982719
1136.5	0.998628
1137	1
1137.5	1
1138	1
1138.5	0
1139	0
1139.5	0
1140	0
1140.5	0
1141	0
1141.5	0
1142	0
1142.5	0
1143	0
1143.5	0
1144	0.983773
1144.5	0.955844
1145	0.923788
1145.5	0.897652
1146	0.887314
1146.5	0.898001
1147	0
1147.5	0.956042
1148	0
1148.5	0.998934
1149	0
1149.5	0
1150	0
1150.5	0
1151	0
1151.5	0
1152	0
1152.5	0
1153	0
1153.5	0
1154	0
1154.5	0
1155	0
1155.5	0.999119
1156	0.984714
1156.5	0.957469
1157	0.926093
1157.5	0.900504
1158	0.890429
1158.5	0.901005
1159	0.926671
1159.5	0.957941
1160	0.984998
1160.5	0.999201
1161	1
1161.5	1
1162	1
1162.5	0
1163	0
1163.5	0
1164	0
1164.5	0
1165	0
1165.5	0
1166	0
1166.5	0
1167	0
1167.5	0.999312
1168	0.98558
1168.5	0.959044
1169	0.928112
1169.5	0.903306
1170	0.893489
1170.5	0.90395
1171	0.929171
1171.5	0.959787
1172	0.986068
1172.5	0.999428
1173	1
1173.5	1
1174	0
1174.5	0
1175	0
1175.5	0
1176	0
1176.5	0
1177	0
1177.5	0
1178	0
1178.5	0
1179	0
1179.5	0
1180	0
1180.5	0
1181	0.930574
1181.5	0.906058
1182	0.896492
1182.5	0.906836
1183	0.931614
1183.5	0.961563
1184	0.987092
1184.5	0.999617
1185	0.993647
1185.5	1
1186	1
1186.5	0
1187	0
1187.5	0
1188	0
1188.5	0
1189	0
1189.5	0
1190	0
1190.5	0
1191	0.993678
1191.5	0.999626
1192	0.987293
1192.5	0.962137
1193	0.932749
1193.5	0.908759
1194	0.899438
1194.5	0.909662
1195	0.934
1195.5	0.963325
1196	0.988071
1196.5	0.999767
1197	0.992962
1197.5	1
1198	1
1198.5	0
1199	0
1199.5	0
1200	0
1200.5	0
1201	0
1201.5	0
1202	0
1202.5	0
1203	0.993146
1203.5	0.999747
1204	0.988091
1204.5	0.963621
1205	0.93488
1205.5	0.911408
1206	0.902328
1206.5	0.91243
1207	0.936329
1207.5	0.965016
1208	0.989005
1208.5	0.999879
1209	0.992248
1209.5	1
1210	1
1210.5	0
1211	0
1211.5	0
1212	0
1212.5	0
1213	0
1213.5	0
1214	0
1214.5	0
1215	0
1215.5	0.999844
1216	0.98886
1216.5	0.965068
1217	0.936967
1217.5	0.914006
1218	0.905161
1218.5	0.915137
1219	0.938601
1219.5	0.966657
1220	0.989894
1220.5	0.999954
1221	0.991505
1221.5	1
1222	1
1222.5	0
1223	0
1223.5	0
1224	0
1224.5	0
1225	0
1225.5	0
1226	0
1226.5	0
1227	0.992025
1227.5	0.999917
1228	0.9896
1228.5	0.966479
1229	0.93901
1229.5	0.916551
1230	0.907936
1230.5	0.917786
1231	0.940816
1231.5	0.968246
1232	0.99074
1232.5	0.999993
1233	0.990736
1233.5	1
1234	1
1234.5	0
1235	0
1235.5	0
1236	0
1236.5	0
1237	0
1237.5	0
1238	0
1238.5	0
1239	0.991438
1239.5	0.999967
1240	0.990311
1240.5	0.967854
1241	0.941008
1241.5	0.919045
1242	0.910653
1242.5	0.920374
1243	0.942975
1243.5	0.969784
1244	0.991542
1244.5	0.999997
1245	0.98994
1245.5	1
1246	1
1246.5	0
1247	0
1247.5	0
1248	0
1248.5	0
1249	0
1249.5	0
1250	0
1250.5	0
1251	0.990833
1251.5	0.999994
1252	0.990994
1252.5	0.969194
1253	0.942962
1253.5	0.921486
1254	0.913313
1254.5	0.922902
1255	0.945077
1255.5	0.971272
1256	0.992301
1256.5	0.999967
1257	0.98912
1257.5	1
1258	1
1258.5	0
1259	0
1259.5	0
1260	0
1260.5	0
1261	0
1261.5	0
1262	0
1262.5	0
1263	0.990211
1263.5	0.999999
1264	0.991648
1264.5	0.970498
1265	0.944872
1265.5	0.923875
1266	0.915914
1266.5	0.925371
1267	0.947123
1267.5	0.972711
1268	0.993018
1268.5	0.999903
1269	0.988275
1269.5	1
1270	1
1270.5	0
1271	0
1271.5	0
1272	0
1272.5	0
1273	0
1273.5	0
1274	0
1274.5	0
1275	0.989573
1275.5	0.999982
1276	0.992274
1276.5	0.971766
1277	0.946738
1277.5	0.926212
1278	0.918458
1278.5	0.927781
1279	0.949113
1279.5	0.9741
1280	0.993694
1280.5	0.999807
1281	0.987409
1281.5	1
1282	1
1282.5	0
1283	0
1283.5	0
1284	0
1284.5	0
1285	0
1285.5	0
1286	0
1286.5	0
1287	0.988918
1287.5	0.999943
1288	0.992872
1288.5	0.972999
1289	0.94856
1289.5	0.928496
1290	0.920944
1290.5	0.93013
1291	0.951047
1291.5	0.97544
1292	0.99433
1292.5	0.99968
1293	0.986521
1293.5	1
1294	1
1294.5	0
1295	0
1295.5	0
1296	0
1296.5	0
1297	0
1297.5	0
1298	0
1298.5	0
1299	0.988247
1299.5	0.999882
1300	0.993443
1300.5	0.974197
1301	0.950339
1301.5	0.930729
1302	0.923372
1302.5	0.932421
1303	0.952926
1303.5	0.976732
1304	0.994925
1304.5	0.999522
1305	0.985613
1305.5	1
1306	1
1306.5	0
1307	0
1307.5	0
1308	0
1308.5	0
1309	0
1309.5	0
1310	0
1310.5	0
1311	0.98756
1311.5	0.999801
1312	0.993985
1312.5	0.975361
1313	0.952073
1313.5	0.932909
1314	0.925742
1314.5	0.934653
1315	0.954751
1315.5	0.977976
1316	0.995482
1316.5	0.999335
1317	0.984687
1317.5	1
1318	1
1318.5	0
1319	0
1319.5	0
1320	0
1320.5	0
1321	0
1321.5	0
1322	0
1322.5	0
1323	0.986858
1323.5	0.9997
1324	0.994502
1324.5	0.976489
1325	0.953765
1325.5	0.935038
1326	0.928055
1326.5	0.936826
1327	0.956521
1327.5	0.979173
1328	0.996001
1328.5	0.99912
1329	0.983743
1329.5	1
1330	1
1330.5	0
1331	0
1331.5	0
1332	0
1332.5	0
1333	0
1333.5	0
1334	0
1334.5	0
1335	0.986142
1335.5	0.999578
1336	0.994992
1336.5	0.977584
1337	0.955413
1337.5	0.937115
1338	0.930311
1338.5	0.93894
1339	0.958237
1339.5	0.980324
1340	0.996482
1340.5	0.998878
1341	0.982784
1341.5	1
1342	1
1342.5	0
1343	0
1343.5	0
1344	0
1344.5	0
1345	0
1345.5	0
1346	0
1346.5	0
1347	0
1347.5	0
1348	0.99545
1348.5	0.978645
1349	0.956706
1349.5	0.93914
1350	0.932509
1350.5	0.940997
1351	0.9599
1351.5	0.98143
1352	0.996928
1352.5	0.998611
1353	0.98181
1353.5	1
1354	1
1354.5	0
1355	0
1355.5	0
1356	0
1356.5	0
1357	0
1357.5	0
1358	0
1358.5	0
1359	0.984668
1359.5	0.999276
1360	0.995896
1360.5	0.979672
1361	0.958581
1361.5	0.941115
1362	0.934651
1362.5	0.942996
1363	0.96151
1363.5	0.98249
1364	0.997338
1364.5	0.998319
1365	0.980823
1365.5	1
1366	1
1366.5	0
1367	0
1367.5	0
1368	0
1368.5	0
1369	0
1369.5	0
1370	0
1370.5	0
1371	0.983911
1371.5	0.999097
1372	0.996309
1372.5	0.980666
1373	0.960101
1373.5	0.943038
1374	0.936736
1374.5	0.944939
1375	0.963069
1375.5	0.983507
1376	0.997714
1376.5	0.998004
1377	0.979825
1377.5	1
1378	1
1378.5	0
1379	0
1379.5	0
1380	0
1380.5	0
1381	0
1381.5	0
1382	0
1382.5	0
1383	0.983141
1383.5	0.998901
1384	0.996696
1384.5	0.981627
1385	0.961579
1385.5	0.944911
1386	0.938766
1386.5	0.946825
1387	0.964576
1387.5	0.98448
1388	0.998057
1388.5	0.997667
1389	0.978816
1389.5	1
1390	1
1390.5	0
1391	0
1391.5	0
1392	0
1392.5	0
1393	0
1393.5	0
1394	0
1394.5	0
1395	0.982359
1395.5	0.998686
1396	0.997057
1396.5	0.982537
1397	0.963015
1397.5	0.946734
1398	0.94074
1398.5	0.948655
1399	0.966033
1399.5	0.985412
1400	0.998367
1400.5	0.997309
1401	0.977798
1401.5	1
1402	1
1402.5	0
1403	0
1403.5	0
1404	0
1404.5	0
1405	0
1405.5	0
1406	0
1406.5	0
1407	0.981566
1407.5	0.998455
1408	0.997397
1408.5	0.983451
1409	0.96441
1409.5	0.948506
1410	0.942658
1410.5	0.95043
1411	0.96744
1411.5	0.986302
1412	0.998647
1412.5	0.996932
1413	0.976773
1413.5	1
1414	1
1414.5	1
1415	0
1415.5	0
1416	0
1416.5	0
1417	0
1417.5	0
1418	0
1418.5	0
1419	0.980762
1419.5	0.998207
1420	0.997716
1420.5	0.984315
1421	0.965763
1421.5	0.950229
1422	0.944523
1422.5	0.952151
1423	0.968798
1423.5	0.987151
1424	0.998897
1424.5	0.996537
1425	0.975742
1425.5	1
1426	1
1426.5	1
1427	0
1427.5	0
1428	0
1428.5	0
1429	0
1429.5	0
1430	0
1430.5	0
1431	0.979948
1431.5	0.997943
1432	0.998009
1432.5	0.985147
1433	0.967076
1433.5	0.951903
1434	0.946333
1434.5	0.953818
1435	0.970108
1435.5	0.987961
1436	0.999117
1436.5	0.995944
1437	0.974263
1437.5	1
1438	1
1438.5	1
1439	0
1439.5	0
1440	0
1440.5	0
1441	0
1441.5	0
1442	0
1442.5	0
1443	0.978798
1443.5	0.997547
1444	0.998376
1444.5	0.986211
1445	0.968669
1445.5	0.95369
1446	0.948101
1446.5	0.955757
1447	0.971789
1447.5	0.989026
1448	0.999383
1448.5	0.99551
1449	0.973222
1449.5	1
1450	1
1450.5	1
1451	0
1451.5	0
1452	0
1452.5	0
1453	0
1453.5	0
1454	0
1454.5	0
1455	0.977964
1455.5	0.997248
1456	0.998615
1456.5	0.986972
1457	0.969893
1457.5	0.955265
1458	0.949805
1458.5	0.957314
1459	0.972993
1459.5	0.989747
1460	0.99954
1460.5	0.995062
1461	0.97218
1461.5	1
1462	1
1462.5	1
1463	0
1463.5	0
1464	0
1464.5	0
1465	0
1465.5	0
1466	0
1466.5	0
1467	0.977123
1467.5	0.996926
1468	0.998835
1468.5	0.987703
1469	0.971078
1469.5	0.956792
1470	0.951457
1470.5	0.958819
1471	0.974152
1471.5	0.990431
1472	0.999671
1472.5	0.994601
1473	0.971138
1473.5	1
1474	1
1474.5	1
1475	0
1475.5	0
1476	0
1476.5	0
1477	0
1477.5	0
1478	0
1478.5	0
1479	0.976275
1479.5	0.996608
1480	0.999031
1480.5	0.988403
1481	0.972224
1481.5	0.958271
1482	0.953058
1482.5	0.960274
1483	0.975267
1483.5	0.991081
1484	0.999778
1484.5	0.99413
1485	0.970098
1485.5	1
1486	1
1486.5	1
1487	0
1487.5	0
1488	0
1488.5	0
1489	0
1489.5	0
1490	0
1490.5	0
1491	0.97542
1491.5	0.996269
1492	0.999208
1492.5	0.989062
1493	0.973332
1493.5	0.959704
1494	0.954608
1494.5	0.96168
1495	0.976338
1495.5	0.991697
1496	0.999863
1496.5	0.993649
1497	0.96906
1497.5	1
1498	1
1498.5	1
1499	0
1499.5	0
1500	0
1500.5	0
1501	0
1501.5	0
1502	0
1502.5	0
1503	0.974561
1503.5	0.995919
1504	0.999366
1504.5	0.989719
1505	0.974402
1505.5	0.961091
1506	0.956108
1506.5	0.963036
1507	0.977366
1507.5	0.992279
1508	0.999927
1508.5	0.993159
1509	0.968027
1509.5	1
1510	1
1510.5	1
1511	0
1511.5	0
1512	0
1512.5	0
1513	0
1513.5	0
1514	0
1514.5	0
1515	0.973697
1515.5	0.995557
1516	0.999504
1516.5	0.990334
1517	0.975434
1517.5	0.962433
1518	0.957558
1518.5	0.964344
1519	0.978354
1519.5	0.992829
1520	0.99997
1520.5	0.992663
1521	0.967
1521.5	1
1522	1
1522.5	1
1523	0
1523.5	0
1524	0
1524.5	0
1525	0
1525.5	0
1526	0
1526.5	0
1527	0.972829
1527.5	0.995185
1528	0.999624
1528.5	0.990922
1529	0.97643
1529.5	0.96373
1530	0.95896
1530.5	0.965606
1531	0.9793
1531.5	0.993349
1532	0.999994
1532.5	0.99216
1533	0.96598
1533.5	1
1534	1
1534.5	1
1535	0
1535.5	0
1536	0
1536.5	0
1537	0
1537.5	0
1538	0
1538.5	0
1539	0.971957
1539.5	0.994801
1540	0.999726
1540.5	0.991484
1541	0.977391
1541.5	0.964983
1542	0.960314
1542.5	0.966821
1543	0.980207
1543.5	0.993839
1544	1
1544.5	0.991654
1545	0.964969
1545.5	1
1546	1
1546.5	1
1547	0
1547.5	0
1548	0
1548.5	0
1549	0
1549.5	0
1550	0
1550.5	0
1551	0.971083
1551.5	0.994409
1552	0.999811
1552.5	0.99202
1553	0.978316
1553.5	0.966193
1554	0.961622
1554.5	0.96799
1555	0.981076
1555.5	0.994299
1556	0.999989
1556.5	0.991143
1557	0.963967
1557.5	1
1558	1
1558.5	1
1559	0
1559.5	0
1560	0
1560.5	0
1561	0
1561.5	0
1562	0
1562.5	0
1563	0.970208
1563.5	0.994009
1564	0.999879
1564.5	0.99253
1565	0.979207
1565.5	0.967361
1566	0.962883
1566.5	0.969116
1567	0.981907
1567.5	0.994733
1568	0.999963
1568.5	0.990631
1569	0.962977
1569.5	1
1570	1
1570.5	1
1571	0
1571.5	0
1572	0
1572.5	0
1573	0
1573.5	0
1574	0
1574.5	0
1575	0.969331
1575.5	0.993603
1576	0.999931
1576.5	0.993016
1577	0.980064
1577.5	0.968487
1578	0.964099
1578.5	0.970197
1579	0.982701
1579.5	0.995139
1580	0.999922
1580.5	0.990119
1581	0.961999
1581.5	1
1582	1
1582.5	0
1583	0
1583.5	0
1584	0
1584.5	0
1585	0
1585.5	0
1586	0
1586.5	0
1587	0.968454
1587.5	0.993184
1588	0.999969
1588.5	0.993478
1589	0.980889
1589.5	0.969572
1590	0.965271
1590.5	0.971236
1591	0.983459
1591.5	0.99552
1592	0.999869
1592.5	0.989606
1593	0.961035
1593.5	1
1594	1
1594.5	1
1595	0
1595.5	0
1596	0
1596.5	0
1597	0
1597.5	0
1598	0
1598.5	0
1599	0.967579
1599.5	0.992765
1600	0.999991
1600.5	0.993916
1601	0.981681
1601.5	0.970617
1602	0.966398
1602.5	0.972234
1603	0.984183
1603.5	0.995876
1604	0.999802
1604.5	0.989096
1605	0.960086
1605.5	1
1606	1
1606.5	0
1607	0
1607.5	0
1608	0
1608.5	0
1609	0
1609.5	0
1610	0
1610.5	0
1611	0.966704
1611.5	0.99234
1612	1
1612.5	0.994332
1613	0.982441
1613.5	0.971623
1614	0.967484
1614.5	0.97319
1615	0.984873
1615.5	0.996209
1616	0.999725
1616.5	0.988588
1617	0.959153
1617.5	1
1618	1
1618.5	0
1619	0
1619.5	0
1620	0
1620.5	0
1621	0
1621.5	0
1622	0
1622.5	0
1623	0.965833
1623.5	0.991909
1624	0.999995
1624.5	0.994725
1625	0.98317
1625.5	0.972591
1626	0.968527
1626.5	0.974107
1627	0.985531
1627.5	0.996519
1628	0.999638
1628.5	0.988085
1629	0.958238
1629.5	1
1630	1
1630.5	1
1631	0
1631.5	0
1632	0
1632.5	0
1633	0
1633.5	0
1634	0
1634.5	0
1635	0.964965
1635.5	0.991473
1636	0.999978
1636.5	0.995097
1637	0.98387
1637.5	0.973521
1638	0.969529
1638.5	0.974986
1639	0.986157
1639.5	0.996808
1640	0.999542
1640.5	0.987587
1641	0.957342
1641.5	1
1642	1
1642.5	1
1643	0
1643.5	0
1644	0
1644.5	0
1645	0
1645.5	0
1646	0
1646.5	0
1647	0.964101
1647.5	0.991035
1648	0.99995
1648.5	0.995449
1649	0.984539
1649.5	0.974414
1650	0.970491
1650.5	0.975826
1651	0.986752
1651.5	0.997076
1652	0.99944
1652.5	0.987095
1653	0.956465
1653.5	1
1654	1
1654.5	0
1655	0
1655.5	0
1656	0
1656.5	0
1657	0
1657.5	0
1658	0
1658.5	0
1659	0
1659.5	0
1660	0
1660.5	0.99578
1661	0.98506
1661.5	0.97527
1662	0.969891
1662.5	0.976092
1663	0.987317
1663.5	0.997325
1664	0.999328
1664.5	0.98661
1665	0.729945
1665.5	0
1666	0
1666.5	0
1667	0
1667.5	0
1668	0
1668.5	0
1669	0
1669.5	0
1670	0
1670.5	0
1671	0.96239
1671.5	0.990148
1672	0.99986
1672.5	0.996093
1673	0.985793
1673.5	0.976092
1674	0.972299
1674.5	0.977397
1675	0.987854
1675.5	0.997556
1676	0.999212
1676.5	0.986134
1677	0.954775
1677.5	1
1678	1
1678.5	1
1679	0
1679.5	0
1680	0
1680.5	0
1681	0
1681.5	0
1682	0
1682.5	0
1683	0.961545
1683.5	0.989707
1684	0.9998
1684.5	0.996386
1685	0.986378
1685.5	0.976878
1686	0.973146
1686.5	0.978129
1687	0.988362
1687.5	0.997769
1688	0.999091
1688.5	0.985667
1689	0.953964
1689.5	1
1690	1
1690.5	1
1691	0
1691.5	0
1692	0
1692.5	0
1693	0
1693.5	0
1694	0
1694.5	0
1695	0.960708
1695.5	0.989264
1696	0.999731
1696.5	0.996662
1697	0.986937
1697.5	0.977631
1698	0.973956
1698.5	0.978827
1699	0.988844
1699.5	0.997965
1700	0.998967
1700.5	0.98521
1701	0.953177
1701.5	1
1702	1
1702.5	1
1703	0
1703.5	0
1704	0
1704.5	0
1705	0
1705.5	0
1706	0
1706.5	0
1707	0.959881
1707.5	0.988822
1708	0.999654
1708.5	0.99692
1709	0.98747
1709.5	0.978351
1710	0.974731
1710.5	0.979492
1711	0.9893
1711.5	0.998146
1712	0.998839
1712.5	0.984765
1713	0.952415
1713.5	1
1714	1
1714.5	1
1715	0
1715.5	0
1716	0
1716.5	0
1717	0
1717.5	0
1718	0
1718.5	0
1719	0.959064
1719.5	0.988381
1720	0.99957
1720.5	0.997161
1721	0.987977
1721.5	0.979038
1722	0.975471
1722.5	0.980125
1723	0.98973
1723.5	0.998312
1724	0.99871
1724.5	0.984332
1725	0.951678
1725.5	1
1726	1
1726.5	1
1727	0
1727.5	0
1728	0
1728.5	0
1729	0
1729.5	0
1730	0
1730.5	0
1731	0.958258
1731.5	0.987941
1732	0.999479
1732.5	0.997387
1733	0.98846
1733.5	0.979694
1734	0.976176
1734.5	0.980727
1735	0.990137
1735.5	0.998465
1736	0.998579
1736.5	0.983912
1737	0.950968
1737.5	1
1738	1
1738.5	1
1739	0
1739.5	0
1740	0
1740.5	0
1741	0
1741.5	0
1742	0
1742.5	0
1743	0.957464
1743.5	0.987472
1744	0.999383
1744.5	0.997597
1745	0.988918
1745.5	0.980318
1746	0.976848
1746.5	0.981297
1747	0.99052
1747.5	0.998604
1748	0.998448
1748.5	0.983506
1749	0.950285
1749.5	1
1750	1
1750.5	1
1751	0
1751.5	0
1752	0
1752.5	0
1753	0
1753.5	0
1754	0
1754.5	0
1755	0.956684
1755.5	0.987075
1756	0.99928
1756.5	0.997792
1757	0.989353
1757.5	0.980912
1758	0.977488
1758.5	0.981839
1759	0.99088
1759.5	0.998731
1760	0.998318
1760.5	0.983114
1761	0.949631
1761.5	1
1762	1
1762.5	0
1763	0
1763.5	0
1764	0
1764.5	0
1765	0
1765.5	0
1766	0
1766.5	0
1767	0.955919
1767.5	0.986649
1768	0.999173
1768.5	0.997974
1769	0.989766
1769.5	0.981477
1770	0.978096
1770.5	0.982351
1771	0.991219
1771.5	0.998847
1772	0.998189
1772.5	0.982738
1773	0.949005
1773.5	1
1774	1
1774.5	1
1775	0
1775.5	0
1776	0
1776.5	0
1777	0
1777.5	0
1778	0
1778.5	1
1779	0.955169
1779.5	0.986228
1780	0.999063
1780.5	0.998142
1781	0.990156
1781.5	0.982013
1782	0.978674
1782.5	0.982835
1783	0.991536
1783.5	0.998952
1784	0.998062
1784.5	0.982378
1785	0.948408
1785.5	1
1786	1
1786.5	1
1787	0
1787.5	0
1788	0
1788.5	0
1789	0
1789.5	0
1790	0
1790.5	1
1791	0.954435
1791.5	0.985815
1792	0.998949
1792.5	0.998298
1793	0.990526
1793.5	0.982521
1794	0.979221
1794.5	0.983292
1795	0.991834
1795.5	0.999047
1796	0.997937
1796.5	0.982034
1797	0.947842
1797.5	1
1798	1
1798.5	1
1799	0
1799.5	0
1800	0
1800.5	0
1801	0
1801.5	0
1802	0
1802.5	1
1803	0.953719
1803.5	0.985409
1804	0.998834
1804.5	0.998441
1805	0.990874
1805.5	0.983002
1806	0.979738
1806.5	0.983722
1807	0.992111
1807.5	0.999133
1808	0.997817
1808.5	0.981682
1809	0.947268
1809.5	1
1810	1
1810.5	1
1811	0
1811.5	0
1812	0
1812.5	0
1813	0
1813.5	0
1814	0
1814.5	1
1815	0.952959
1815.5	0.984977
1816	0.998706
1816.5	0.998585
1817	0.991229
1817.5	0.983483
1818	0.980226
1818.5	0.984138
1819	0.992385
1819.5	0.999216
1820	0.997691
1820.5	0.981376
1821	0.946767
1821.5	1
1822	1
1822.5	1
1823	0
1823.5	0
1824	0
1824.5	0
1825	0
1825.5	0
1826	0
1826.5	1
1827	0.952282
1827.5	0.984587
1828	0.998587
1828.5	0.998705
1829	0.991536
1829.5	0.98391
1830	0.980687
1830.5	0.984514
1831	0.992623
1831.5	0.999285
1832	0.99758
1832.5	0.981088
1833	0.946299
1833.5	1
1834	1
1834.5	1
1835	0
1835.5	0
1836	0
1836.5	0
1837	0
1837.5	0
1838	0
1838.5	1
1839	0.951624
1839.5	0.98421
1840	0.998468
1840.5	0.998816
1841	0.991825
1841.5	0.984312
1842	0.98112
1842.5	0.984866
1843	0.992844
1843.5	0.999346
1844	0.997474
1844.5	0.98082
1845	0.945864
1845.5	1
1846	1
1846.5	1
1847	0
1847.5	0
1848	0
1848.5	0
1849	0
1849.5	0
1850	0
1850.5	0
1851	0.950988
1851.5	0.983842
1852	0.99835
1852.5	0.998917
1853	0.992097
1853.5	0.984689
1854	0.981527
1854.5	0.985194
1855	0.993049
1855.5	0.999401
1856	0.997374
1856.5	0.980571
1857	0.945462
1857.5	1
1858	1
1858.5	1
1859	0
1859.5	0
1860	0
1860.5	0
1861	0
1861.5	0
1862	0
1862.5	1
1863	0.950372
1863.5	0.983483
1864	0.998232
1864.5	0.99901
1865	0.99235
1865.5	0.985043
1866	0.981907
1866.5	0.985498
1867	0.993236
1867.5	0.99945
1868	0.99728
1868.5	0.980342
1869	0.945093
1869.5	1
1870	1
1870.5	1
1871	0
1871.5	0
1872	0
1872.5	0
1873	0
1873.5	0
1874	0
1874.5	1
1875	0.94978
1875.5	0.983139
1876	0.998116
1876.5	0.999094
1877	0.992587
1877.5	0.985373
1878	0.982262
1878.5	0.985779
1879	0.993408
1879.5	0.999493
1880	0.997192
1880.5	0.980133
1881	0.944758
1881.5	1
1882	1
1882.5	1
1883	0
1883.5	0
1884	0
1884.5	0
1885	0
1885.5	0
1886	0
1886.5	1
1887	0.949211
1887.5	0.982804
1888	0.998002
1888.5	0.99917
1889	0.992807
1889.5	0.98568
1890	0.982591
1890.5	0.986038
1891	0.993564
1891.5	0.999531
1892	0.997112
1892.5	0.979944
1893	0.944456
1893.5	1
1894	1
1894.5	1
1895	0
1895.5	0
1896	0
1896.5	0
1897	0
1897.5	0
1898	0
1898.5	1
1899	0.948666
1899.5	0.982484
1900	0.997891
1900.5	0.999239
1901	0.993011
1901.5	0.985964
1902	0.982896
1902.5	0.986275
1903	0.993705
1903.5	0.999564
1904	0.997039
1904.5	0.979776
1905	0.944189
1905.5	1
1906	1
1906.5	1
1907	0
1907.5	0
1908	0
1908.5	0
1909	0
1909.5	0
1910	0
1910.5	1
1911	0.948146
1911.5	0.982178
1912	0.997783
1912.5	0.999302
1913	0.993199
1913.5	0.986227
1914	0.983177
1914.5	0.98649
1915	0.993832
1915.5	0.999592
1916	0.996974
1916.5	0.979629
1917	0.943956
1917.5	1
1918	1
1918.5	1
1919	0
1919.5	0
1920	0
1920.5	0
1921	0
1921.5	0
1922	0
1922.5	1
1923	0.947652
1923.5	0.981886
1924	0.99768
1924.5	0.999358
1925	0.993372
1925.5	0.986467
1926	0.983435
1926.5	0.986685
1927	0.993945
1927.5	0.999616
1928	0.996917
1928.5	0.979503
1929	0.943757
1929.5	1
1930	1
1930.5	1
1931	0
1931.5	0
1932	0
1932.5	0
1933	0
1933.5	0
1934	0
1934.5	1
1935	0.947186
1935.5	0.98161
1936	0.99758
1936.5	0.999408
1937	0.99353
1937.5	0.986687
1938	0.983669
1938.5	0.986859
1939	0.994044
1939.5	0.999637
1940	0.996868
1940.5	0.979398
1941	0.943592
1941.5	1
1942	1
1942.5	1
1943	0
1943.5	0
1944	0
1944.5	0
1945	0
1945.5	0
1946	0
1946.5	1
1947	0.946746
1947.5	0.981349
1948	0.997486
1948.5	0.999452
1949	0.993674
1949.5	0.986886
1950	0.983881
1950.5	0.987013
1951	0.994129
1951.5	0.999654
1952	0.996827
1952.5	0.979314
1953	0.943461
1953.5	1
1954	1
1954.5	1
1955	0
1955.5	0
1956	0
1956.5	0
1957	0
1957.5	0
1958	0
1958.5	1
1959	0.946336
1959.5	0.9811
1960	0.997396
1960.5	0.999492
1961	0.993804
1961.5	0.987064
1962	0.98407
1962.5	0.987147
1963	0.994201
1963.5	0.999668
1964	0.996795
1964.5	0.979252
1965	0.943365
1965.5	1
1966	1
1966.5	1
1967	0
1967.5	0
1968	0
1968.5	0
1969	0
1969.5	0
1970	0
1970.5	1
1971	0.945954
1971.5	0.980873
1972	0.997313
1972.5	0.999526
1973	0.99392
1973.5	0.987222
1974	0.984237
1974.5	0.987262
1975	0.994261
1975.5	0.999678
1976	0.996771
1976.5	0.97921
1977	0.943302
1977.5	1
1978	1
1978.5	1
1979	0
1979.5	0
1980	0
1980.5	0
1981	0
1981.5	0
1982	0
1982.5	1
1983	0.945602
1983.5	0.980668
1984	0.997236
1984.5	0.999557
1985	0.994022
1985.5	0.98736
1986	0.984382
1986.5	0.987358
1987	0.994308
1987.5	0.999686
1988	0.996756
1988.5	0.97919
1989	0.943274
1989.5	1
1990	1
1990.5	1
1991	0
1991.5	0
1992	0
1992.5	0
1993	0
1993.5	0
1994	0
1994.5	1
1995	0.94528
1995.5	0.980477
1996	0.997165
1996.5	0.999583
1997	0.994112
1997.5	0.987479
1998	0.984505
1998.5	0.987434
