#1	
"double Cosine(6247, 2)"	
260.5	1
261	1
261.5	0
262	0
262.5	0
263	0
263.5	0
264	0
264.5	0
265	0
265.5	0
266	0
266.5	0
267	0
267.5	0
268	0.856716
268.5	0.77646
269	0.695888
269.5	0.631122
270	0.600263
270.5	0.615768
271	0.671454
271.5	0.749692
272	0.830968
272.5	1
273	0
273.5	0
274	0
274.5	0
275	0
275.5	0
276	0
276.5	0
277	0
277.5	0
278	0
278.5	0
279	0
279.5	0
280	0.858719
280.5	0.779121
281	0.699233
281.5	0.634251
282	0.603383
282.5	0.618627
283	0.674237
283.5	0.751694
284	0.832429
284.5	1
285	1
285.5	1
286	0
286.5	0
287	0
287.5	0
288	0
288.5	0
289	0
289.5	0
290	0
290.5	0
291	0
291.5	0
292	0.860736
292.5	0.781677
293	0.702169
293.5	0.637432
294	0.606571
294.5	0.621568
295	0.676766
295.5	0.753771
296	0.833948
296.5	1
297	1
297.5	1
298	0
298.5	0
299	0
299.5	0
300	0
300.5	0
301	0
301.5	0
302	0
302.5	0
303	0
303.5	0
304	0.862765
304.5	0.784223
305	0.705141
305.5	0.640665
306	0.609828
306.5	0.624587
307	0.679377
307.5	0.75592
308	0.835607
308.5	0.907154
309	1
309.5	1
310	0
310.5	0
311	0
311.5	0
312	0
312.5	0
313	0
313.5	0
314	0
314.5	0
315	0
315.5	0
316	0.864803
316.5	0.786665
317	0.708148
317.5	0.643289
318	0.61315
318.5	0.627684
319	0.681393
319.5	0.75814
320	0.837586
320.5	0.908474
321	1
321.5	0
322	0
322.5	0
323	0
323.5	0
324	0
324.5	0
325	0
325.5	0
326	0
326.5	0
327	0
327.5	0
328	0.86685
328.5	0.789437
329	0.711187
329.5	0.647277
330	0.616535
330.5	0.630856
331	0.684834
331.5	0.760429
332	0.839184
332.5	0.909831
333	1
333.5	1
334	0
334.5	0
335	0
335.5	0
336	0
336.5	0
337	0
337.5	0
338	0
338.5	0
339	0
339.5	0
340	0.868905
340.5	0.792051
341	0.714258
341.5	0.650653
342	0.619982
342.5	0.634102
343	0.687676
343.5	0.762786
344	0.841054
344.5	0.911223
345	1
345.5	1
346	0
346.5	0
347	0
347.5	0
348	0
348.5	0
349	0
349.5	0
350	0
350.5	0
351	0
351.5	0
352	0.870966
352.5	0.794692
353	0.717358
353.5	0.654072
354	0.623489
354.5	0.637419
355	0.690592
355.5	0.765208
356	0.842977
356.5	0.912649
357	1
357.5	1
358	0
358.5	0
359	0
359.5	0
360	0
360.5	0
361	0
361.5	0
362	0
362.5	0
363	0
363.5	0
364	0
364.5	0.797198
365	0.71961
365.5	0.656687
366	0.627054
366.5	0.640806
367	0.693579
367.5	0.767694
368	0.844949
368.5	0.915015
369	1
369.5	1
370	0
370.5	0
371	0
371.5	0
372	0
372.5	0
373	0
373.5	0
374	0
374.5	0
375	0
375.5	0
376	0.876433
376.5	0.801477
377	0.724868
377.5	0.661665
378	0.630725
378.5	0.644343
379	0.697216
379.5	0.771227
380	0.848058
380.5	0.916524
381	1
381.5	1
382	0
382.5	0
383	0
383.5	0
384	0
384.5	0
385	0
385.5	0
386	0
386.5	0
387	0
387.5	0
388	0.878505
388.5	0.804162
389	0.728045
389.5	0.665201
390	0.634398
390.5	0.647877
391	0.70037
391.5	0.773869
392	0.850155
392.5	0.918061
393	1
393.5	1
394	0
394.5	0
395	0
395.5	0
396	0
396.5	0
397	0
397.5	0
398	0
398.5	0
399	0
399.5	0
400	0.880578
400.5	0.806858
401	0.731245
401.5	0.668774
402	0.638123
402.5	0.651473
403	0.703588
403.5	0.776568
404	0.852296
404.5	0.919623
405	1
405.5	1
406	0
406.5	0
407	0
407.5	0
408	0
408.5	0
409	0
409.5	0
410	0
410.5	0
411	0
411.5	0
412	0.88265
412.5	0.809565
413	0.734467
413.5	0.672383
414	0.641897
414.5	0.65513
415	0.706869
415.5	0.779321
416	0.854478
416.5	0.921211
417	1
417.5	1
418	0
418.5	0
419	0
419.5	0
420	0
420.5	0
421	0
421.5	0
422	0
422.5	0
423	0
423.5	0
424	0.884721
424.5	0.81228
425	0.73771
425.5	0.676026
426	0.64572
426.5	0.658846
427	0.710209
427.5	0.782127
428	0.8567
428.5	0.922821
429	1
429.5	1
430	0
430.5	0
431	0
431.5	0
432	0
432.5	0
433	0
433.5	0
434	0
434.5	0
435	0
435.5	0
436	0.88679
436.5	0.815004
437	0.740971
437.5	0.679701
438	0.649588
438.5	0.662617
439	0.713606
439.5	0.784982
440	0.858959
440.5	0.924451
441	1
441.5	1
442	0
442.5	0
443	0
443.5	0
444	0
444.5	0
445	0
445.5	0
446	0
446.5	0
447	0
447.5	1
448	0.888856
448.5	0.817734
449	0.744251
449.5	0.683407
450	0.6535
450.5	0.666441
451	0.717057
451.5	0.787884
452	0.861253
452.5	0.926101
453	1
453.5	1
454	0
454.5	0
455	0
455.5	0
456	0
456.5	0
457	0
457.5	0
458	0
458.5	0
459	0
459.5	0
460	0.890917
460.5	0.820341
461	0.747548
461.5	0.68594
462	0.657454
462.5	0.670317
463	0.72056
463.5	0.79083
464	0.86358
464.5	0.927768
465	1
465.5	1
466	0
466.5	0
467	0
467.5	0
468	0
468.5	0
469	0
469.5	0
470	0
470.5	0
471	0
471.5	1
472	0.892974
472.5	0.823212
473	0.75086
473.5	0.690906
474	0.661448
474.5	0.67424
475	0.724112
475.5	0.793818
476	0.865937
476.5	0.92945
477	1
477.5	1
478	0
478.5	0
479	0
479.5	0
480	0
480.5	0
481	0
481.5	0
482	0
482.5	0
483	0
483.5	0
484	0.895025
484.5	0.825957
485	0.754188
485.5	0.694696
486	0.665481
486.5	0.67821
487	0.727711
487.5	0.796846
488	0.868322
488.5	0.931145
489	1
489.5	1
490	0
490.5	0
491	0
491.5	0
492	0
492.5	0
493	0
493.5	0
494	0
494.5	0
495	0
