Hours since 00:00 Jan 1,,Hourly Data: Field collector cosine efficiency
1330.5,665,0.805011
1331.5,665.5,0.752576
1332.5,666,0.729119
1333.5,666.5,0.741573
1334.5,667,0.785436
1335.5,667.5,0.845207
1336.5,668,0.905941
1337.5,668.5,0.956922
1338.5,669,1
1339.5,669.5,0
1340.5,670,0
1341.5,670.5,0
1342.5,671,0
1343.5,671.5,0
1344.5,672,0
1345.5,672.5,0
1346.5,673,0
1347.5,673.5,0
1348.5,674,0
1349.5,674.5,0
1350.5,675,0
1351.5,675.5,0
1352.5,676,0.926949
1353.5,676.5,0.869581
1354.5,677,0.8082
1355.5,677.5,0.757642
1356.5,678,0.733477
1357.5,678.5,0.74594
1358.5,679,0.789416
1359.5,679.5,0.848537
1360.5,680,0.908471
1361.5,680.5,0.958583
1362.5,681,1
1363.5,681.5,1
1364.5,682,1
1365.5,682.5,0
1366.5,683,0
1367.5,683.5,0
1368.5,684,0
1369.5,684.5,0
1370.5,685,0
1371.5,685.5,0
1372.5,686,0
1373.5,686.5,0
1374.5,687,0
1375.5,687.5,0.972563
1376.5,688,0.928873
1377.5,688.5,0.872267
1378.5,689,0.811783
1379.5,689.5,0.761635
1380.5,690,0.737838
1381.5,690.5,0.750061
1382.5,691,0.793397
1383.5,691.5,0.851895
1384.5,692,0.910992
1385.5,692.5,0.960228
1386.5,693,0
1387.5,693.5,0
1388.5,694,0
1389.5,694.5,0
1390.5,695,0
1391.5,695.5,0
1392.5,696,0
1393.5,696.5,0
1394.5,697,0
1395.5,697.5,0
1396.5,698,0
1397.5,698.5,0
1398.5,699,0
1399.5,699.5,0.973713
1400.5,700,0.930778
1401.5,700.5,0.874905
1402.5,701,0.814808
1403.5,701.5,0.765625
1404.5,702,0.7422
1405.5,702.5,0.754685
1406.5,703,0
1407.5,703.5,0.855202
1408.5,704,0
1409.5,704.5,0.967536
1410.5,705,1
1411.5,705.5,1
1412.5,706,0
1413.5,706.5,0
1414.5,707,0
1415.5,707.5,0
1416.5,708,0
1417.5,708.5,0
1418.5,709,0
1419.5,709.5,0
1420.5,710,0
1421.5,710.5,0
1422.5,711,0
1423.5,711.5,0.974269
1424.5,712,0.931792
1425.5,712.5,0.876494
1426.5,713,0.817274
1427.5,713.5,0.769296
1428.5,714,0.746572
1429.5,714.5,0.758701
1430.5,715,0.800386
1431.5,715.5,0.857263
1432.5,716,0.91486
1433.5,716.5,0.96266
1434.5,717,1
1435.5,717.5,1
1436.5,718,1
1437.5,718.5,0
1438.5,719,0
1439.5,719.5,0
1440.5,720,0
1441.5,720.5,0
1442.5,721,0
1443.5,721.5,0
1444.5,722,0
1445.5,722.5,0
1446.5,723,0
1447.5,723.5,0.975383
1448.5,724,0.933666
1449.5,724.5,0.879174
1450.5,725,0.821075
1451.5,725.5,0.773277
1452.5,726,0.750929
1453.5,726.5,0.763064
1454.5,727,0.80435
1455.5,727.5,0.86055
1456.5,728,0.917346
1457.5,728.5,0.964255
1458.5,729,1
1459.5,729.5,1
1460.5,730,1
1461.5,730.5,0
1462.5,731,0
1463.5,731.5,0
1464.5,732,0
1465.5,732.5,0
1466.5,733,0
1467.5,733.5,0
1468.5,734,0
1469.5,734.5,0
1470.5,735,0
1471.5,735.5,0.976474
1472.5,736,0.935519
1473.5,736.5,0.881776
1474.5,737,0.824419
1475.5,737.5,0.777251
1476.5,738,0.755281
1477.5,738.5,0.76742
1478.5,739,0.808305
1479.5,739.5,0.863826
1480.5,740,0.919815
1481.5,740.5,0.965829
1482.5,741,1
1483.5,741.5,1
1484.5,742,1
1485.5,742.5,0
1486.5,743,0
1487.5,743.5,0
1488.5,744,0
1489.5,744.5,0
1490.5,745,0
1491.5,745.5,0
1492.5,746,0
1493.5,746.5,0
1494.5,747,0
1495.5,747.5,0
1496.5,748,0.937353
1497.5,748.5,0.884321
1498.5,749,0.827372
1499.5,749.5,0.781215
1500.5,750,0.759626
1501.5,750.5,0.771769
1502.5,751,0.81225
1503.5,751.5,0.867088
1504.5,752,0.922265
1505.5,752.5,0.967379
1506.5,753,1
1507.5,753.5,1
1508.5,754,1
1509.5,754.5,0
1510.5,755,0
1511.5,755.5,0
1512.5,756,0
1513.5,756.5,0
1514.5,757,0
1515.5,757.5,0
1516.5,758,0
1517.5,758.5,0
1518.5,759,0
1519.5,759.5,0.978586
1520.5,760,0.939165
1521.5,760.5,0.88693
1522.5,761,0.831068
1523.5,761.5,0.785169
1524.5,762,0.763961
1525.5,762.5,0.776107
1526.5,763,0.816182
1527.5,763.5,0.870333
1528.5,764,0.924695
1529.5,764.5,0.968903
1530.5,765,1
1531.5,765.5,1
1532.5,766,1
1533.5,766.5,0
1534.5,767,0
1535.5,767.5,0
1536.5,768,0
1537.5,768.5,0
1538.5,769,0
1539.5,769.5,0
1540.5,770,0
1541.5,770.5,0
1542.5,771,0
1543.5,771.5,0.979607
1544.5,772,0.940956
1545.5,772.5,0.88948
1546.5,773,0.834371
1547.5,773.5,0.789111
1548.5,774,0.768285
1549.5,774.5,0.780432
1550.5,775,0.820098
1551.5,775.5,0.87356
1552.5,776,0.927103
1553.5,776.5,0.970401
1554.5,777,1
1555.5,777.5,1
1556.5,778,1
1557.5,778.5,0
1558.5,779,0
1559.5,779.5,0
1560.5,780,0
1561.5,780.5,0
1562.5,781,0
1563.5,781.5,0
1564.5,782,0
1565.5,782.5,0
1566.5,783,0
1567.5,783.5,0.980604
1568.5,784,0.942827
1569.5,784.5,0.891969
1570.5,785,0.837207
1571.5,785.5,0.79304
1572.5,786,0.772595
1573.5,786.5,0
1574.5,787,0.823997
1575.5,787.5,0.876767
1576.5,788,0.929486
1577.5,788.5,0
1578.5,789,0
1579.5,789.5,0
1580.5,790,0
1581.5,790.5,0
1582.5,791,0
1583.5,791.5,0
1584.5,792,0
1585.5,792.5,0
1586.5,793,0
1587.5,793.5,0
1588.5,794,0
1589.5,794.5,0
1590.5,795,0
1591.5,795.5,0.981577
1592.5,796,0.944529
1593.5,796.5,0.894526
1594.5,797,0.840928
1595.5,797.5,0.796953
1596.5,798,0.77689
1597.5,798.5,0.789036
1598.5,799,0.827876
1599.5,799.5,0.879952
1600.5,800,0.931844
1601.5,800.5,0.973313
1602.5,801,1
1603.5,801.5,1
1604.5,802,1
1605.5,802.5,0
1606.5,803,0
1607.5,803.5,0
1608.5,804,0
1609.5,804.5,0
1610.5,805,0
1611.5,805.5,0
1612.5,806,0
1613.5,806.5,0
1614.5,807,0
1615.5,807.5,0.982525
1616.5,808,0.946288
1617.5,808.5,0.897009
1618.5,809,0.84418
1619.5,809.5,0.80085
1620.5,810,0.781168
1621.5,810.5,0.793309
1622.5,811,0.831732
1623.5,811.5,0.883112
1624.5,812,0.934175
1625.5,812.5,0.974725
1626.5,813,1
1627.5,813.5,1
1628.5,814,1
1629.5,814.5,0
1630.5,815,0
1631.5,815.5,0
1632.5,816,0
1633.5,816.5,0
1634.5,817,0
1635.5,817.5,0
1636.5,818,0
1637.5,818.5,0
1638.5,819,0
1639.5,819.5,0.983449
1640.5,820,0.947897
1641.5,820.5,0.899483
1642.5,821,0.847413
1643.5,821.5,0.804728
1644.5,822,0.785427
1645.5,822.5,0.797561
1646.5,823,0.835565
1647.5,823.5,0.886245
1648.5,824,0.936476
1649.5,824.5,0.976105
1650.5,825,1
1651.5,825.5,1
1652.5,826,1
1653.5,826.5,0
1654.5,827,0
1655.5,827.5,0
1656.5,828,0
1657.5,828.5,0
1658.5,829,0
1659.5,829.5,0
1660.5,830,0
1661.5,830.5,0
1662.5,831,0
1663.5,831.5,0.984349
1664.5,832,0.94966
1665.5,832.5,0.901929
1666.5,833,0.850626
1667.5,833.5,0.808588
1668.5,834,0.789665
1669.5,834.5,0.80179
1670.5,835,0.839371
1671.5,835.5,0.889351
1672.5,836,0.938747
1673.5,836.5,0.977452
1674.5,837,1
1675.5,837.5,1
1676.5,838,1
1677.5,838.5,0
1678.5,839,0
1679.5,839.5,0
1680.5,840,0
1681.5,840.5,0
1682.5,841,0
1683.5,841.5,0
1684.5,842,0
1685.5,842.5,0
1686.5,843,0
1687.5,843.5,0.985224
1688.5,844,0.95131
1689.5,844.5,0.904355
1690.5,845,0.853817
1691.5,845.5,0.812426
1692.5,846,0.79388
1693.5,846.5,0.805992
1694.5,847,0.843148
1695.5,847.5,0.892427
1696.5,848,0.940987
1697.5,848.5,0.978766
1698.5,849,1
1699.5,849.5,1
1700.5,850,1
1701.5,850.5,0
1702.5,851,0
1703.5,851.5,0
1704.5,852,0
1705.5,852.5,0
1706.5,853,0
1707.5,853.5,0
1708.5,854,0
1709.5,854.5,0
1710.5,855,0
1711.5,855.5,0.986074
1712.5,856,0.95295
1713.5,856.5,0.906733
1714.5,857,0.856986
1715.5,857.5,0.816241
1716.5,858,0.798071
1717.5,858.5,0.810167
1718.5,859,0.846896
1719.5,859.5,0.895471
1720.5,860,0.943193
1721.5,860.5,0.980046
1722.5,861,1
1723.5,861.5,1
1724.5,862,1
1725.5,862.5,0
1726.5,863,0
1727.5,863.5,0
1728.5,864,0
1729.5,864.5,0
1730.5,865,0
1731.5,865.5,0
1732.5,866,0
1733.5,866.5,0
1734.5,867,0
1735.5,867.5,0.986899
1736.5,868,0.95455
1737.5,868.5,0.909113
1738.5,869,0.860131
1739.5,869.5,0.820033
1740.5,870,0.802236
1741.5,870.5,0.814313
1742.5,871,0.850611
1743.5,871.5,0.898482
1744.5,872,0.945365
1745.5,872.5,0.98129
1746.5,873,1
1747.5,873.5,1
1748.5,874,0
1749.5,874.5,0
1750.5,875,0
1751.5,875.5,0
1752.5,876,0
1753.5,876.5,0
1754.5,877,0
1755.5,877.5,0
1756.5,878,0
1757.5,878.5,0
1758.5,879,0
1759.5,879.5,0.987699
1760.5,880,0
1761.5,880.5,0.911468
1762.5,881,0.862846
1763.5,881.5,0.823799
1764.5,882,0.804595
1765.5,882.5,0.818427
1766.5,883,0.854293
1767.5,883.5,0.901458
1768.5,884,0.947501
1769.5,884.5,0.982499
1770.5,885,1
1771.5,885.5,1
1772.5,886,1
1773.5,886.5,0
1774.5,887,0
1775.5,887.5,0
1776.5,888,0
1777.5,888.5,0
1778.5,889,0
1779.5,889.5,0
1780.5,890,0
1781.5,890.5,0
1782.5,891,0
1783.5,891.5,0
1784.5,892,0.95759
1785.5,892.5,0
1786.5,893,0
1787.5,893.5,0.827538
1788.5,894,0.810479
1789.5,894.5,0.822507
1790.5,895,0.857939
1791.5,895.5,0.904371
1792.5,896,0.949683
1793.5,896.5,0.98367
1794.5,897,1
1795.5,897.5,0
1796.5,898,0
1797.5,898.5,0
1798.5,899,0
1799.5,899.5,0
1800.5,900,0
1801.5,900.5,0
1802.5,901,0
1803.5,901.5,0
1804.5,902,0
1805.5,902.5,0
1806.5,903,0
1807.5,903.5,0.989224
1808.5,904,0.959116
1809.5,904.5,0
1810.5,905,0.869412
1811.5,905.5,0.831248
1812.5,906,0.814555
1813.5,906.5,0.826553
1814.5,907,0.861548
1815.5,907.5,0.907254
1816.5,908,0.951661
1817.5,908.5,0.984803
1818.5,909,1
1819.5,909.5,1
1820.5,910,1
1821.5,910.5,0
1822.5,911,0
1823.5,911.5,0
1824.5,912,0
1825.5,912.5,0
1826.5,913,0
1827.5,913.5,0
1828.5,914,0
1829.5,914.5,0
1830.5,915,0
1831.5,915.5,0.989948
1832.5,916,0.960692
1833.5,916.5,0.918376
1834.5,917,0.872451
1835.5,917.5,0.834929
1836.5,918,0.818597
1837.5,918.5,0.830562
1838.5,919,0.865118
1839.5,919.5,0.910165
1840.5,920,0.953684
1841.5,920.5,0.985898
1842.5,921,1
1843.5,921.5,1
1844.5,922,1
1845.5,922.5,0
1846.5,923,0
1847.5,923.5,0
1848.5,924,0
1849.5,924.5,0
1850.5,925,0
1851.5,925.5,0
1852.5,926,0
1853.5,926.5,0
1854.5,927,0
1855.5,927.5,0.990647
1856.5,928,0.96217
1857.5,928.5,0.920624
1858.5,929,0.875058
1859.5,929.5,0.838578
1860.5,930,0.822605
1861.5,930.5,0.834533
1862.5,931,0.868647
1863.5,931.5,0.912989
1864.5,932,0.955666
1865.5,932.5,0.986954
1866.5,933,1
1867.5,933.5,1
1868.5,934,1
1869.5,934.5,0
1870.5,935,0
1871.5,935.5,0
1872.5,936,0
1873.5,936.5,0
1874.5,937,0
1875.5,937.5,0
1876.5,938,0
1877.5,938.5,0
1878.5,939,0
1879.5,939.5,0.99132
1880.5,940,0.963608
1881.5,940.5,0.922857
1882.5,941,0.87844
1883.5,941.5,0.842194
1884.5,942,0.826577
1885.5,942.5,0.838463
1886.5,943,0.872136
1887.5,943.5,0.915771
1888.5,944,0.957607
1889.5,944.5,0.987971
1890.5,945,1
1891.5,945.5,1
1892.5,946,1
1893.5,946.5,0
1894.5,947,0
1895.5,947.5,0
1896.5,948,0
1897.5,948.5,0
1898.5,949,0
1899.5,949.5,0
1900.5,950,0
1901.5,950.5,0
1902.5,951,0
1903.5,951.5,0.991968
1904.5,952,0.965023
1905.5,952.5,0.925032
1906.5,953,0.881388
1907.5,953.5,0.845777
1908.5,954,0.830511
1909.5,954.5,0.842353
1910.5,955,0.875581
1911.5,955.5,0.918512
1912.5,956,0.959507
1913.5,956.5,0.988947
1914.5,957,1
1915.5,957.5,1
1916.5,958,1
1917.5,958.5,0
1918.5,959,0
1919.5,959.5,0
1920.5,960,0
1921.5,960.5,0
1922.5,961,0
1923.5,961.5,0
1924.5,962,0
1925.5,962.5,0
1926.5,963,0
1927.5,963.5,0.99259
1928.5,964,0.966408
1929.5,964.5,0.927192
1930.5,965,0.884304
1931.5,965.5,0.849324
1932.5,966,0.834406
1933.5,966.5,0.8462
1934.5,967,0.878982
1935.5,967.5,0.921208
1936.5,968,0.961365
1937.5,968.5,0.989882
1938.5,969,1
1939.5,969.5,1
1940.5,970,1
1941.5,970.5,0
1942.5,971,0
1943.5,971.5,0
1944.5,972,0
1945.5,972.5,0
1946.5,973,0
1947.5,973.5,0
1948.5,974,0
1949.5,974.5,0
1950.5,975,0
1951.5,975.5,0.993187
1952.5,976,0.967758
1953.5,976.5,0.929321
1954.5,977,0.887186
1955.5,977.5,0.852834
1956.5,978,0.83826
1957.5,978.5,0.850002
1958.5,979,0.882337
1959.5,979.5,0.92386
1960.5,980,0.963179
1961.5,980.5,0.990777
1962.5,981,1
1963.5,981.5,1
1964.5,982,1
1965.5,982.5,0
1966.5,983,0
1967.5,983.5,0
1968.5,984,0
1969.5,984.5,0
1970.5,985,0
1971.5,985.5,0
1972.5,986,0
1973.5,986.5,0
1974.5,987,0
1975.5,987.5,0.993757
1976.5,988,0.969093
1977.5,988.5,0.931419
1978.5,989,0.890034
1979.5,989.5,0.856307
1980.5,990,0.842073
1981.5,990.5,0.853759
1982.5,991,0.885646
1983.5,991.5,0.926467
1984.5,992,0.964949
1985.5,992.5,0.99163
1986.5,993,1
1987.5,993.5,1
1988.5,994,1
1989.5,994.5,0
1990.5,995,0
1991.5,995.5,0
1992.5,996,0
1993.5,996.5,0
1994.5,997,0
1995.5,997.5,0
1996.5,998,0
1997.5,998.5,0
1998.5,999,0
1999.5,999.5,0.994303
2000.5,1000,0.970331
2001.5,1000.5,0.933482
2002.5,1001,0.892846
2003.5,1001.5,0.85974
2004.5,1002,0.845843
2005.5,1002.5,0.857469
2006.5,1003,0.888907
2007.5,1003.5,0.929027
2008.5,1004,0.966675
2009.5,1004.5,0.992442
2010.5,1005,1
2011.5,1005.5,0
2012.5,1006,0
2013.5,1006.5,0
2014.5,1007,0
2015.5,1007.5,0
2016.5,1008,0
2017.5,1008.5,0
2018.5,1009,0
2019.5,1009.5,0
2020.5,1010,0
2021.5,1010.5,0
2022.5,1011,0
2023.5,1011.5,0
2024.5,1012,0.971604
2025.5,1012.5,0.935519
2026.5,1013,0.895624
2027.5,1013.5,0.863134
2028.5,1014,0.849568
2029.5,1014.5,0.861131
2030.5,1015,0.892118
2031.5,1015.5,0.93154
2032.5,1016,0.968361
2033.5,1016.5,0.993212
2034.5,1017,1
2035.5,1017.5,1
2036.5,1018,1
2037.5,1018.5,0
2038.5,1019,0
2039.5,1019.5,0
2040.5,1020,0
2041.5,1020.5,0
2042.5,1021,0
2043.5,1021.5,0
2044.5,1022,0
2045.5,1022.5,0
2046.5,1023,0
2047.5,1023.5,0.995316
2048.5,1024,0.972905
2049.5,1024.5,0.937521
2050.5,1025,0.898364
2051.5,1025.5,0.866487
2052.5,1026,0.853248
2053.5,1026.5,0.864743
2054.5,1027,0.89528
2055.5,1027.5,0.934005
2056.5,1028,0.969991
2057.5,1028.5,0.993939
2058.5,1029,1
2059.5,1029.5,1
2060.5,1030,1
2061.5,1030.5,0
2062.5,1031,0
2063.5,1031.5,0
2064.5,1032,0
2065.5,1032.5,0
2066.5,1033,0
2067.5,1033.5,0
2068.5,1034,0
2069.5,1034.5,0
2070.5,1035,0
2071.5,1035.5,0.995785
2072.5,1036,0.974117
2073.5,1036.5,0.93949
2074.5,1037,0.901068
2075.5,1037.5,0.869798
2076.5,1038,0.856881
2077.5,1038.5,0.868305
2078.5,1039,0.89839
2079.5,1039.5,0.936421
2080.5,1040,0.97158
2081.5,1040.5,0.994625
2082.5,1041,1
2083.5,1041.5,1
2084.5,1042,1
2085.5,1042.5,0
2086.5,1043,0
2087.5,1043.5,0
2088.5,1044,0
2089.5,1044.5,0
2090.5,1045,0
2091.5,1045.5,0
2092.5,1046,0
2093.5,1046.5,0
2094.5,1047,1
2095.5,1047.5,0.996229
2096.5,1048,0.9753
2097.5,1048.5,0.941426
2098.5,1049,0.903733
2099.5,1049.5,0.873067
2100.5,1050,0.860466
2101.5,1050.5,0.871815
2102.5,1051,0.901448
2103.5,1051.5,0.938787
2104.5,1052,0.973122
2105.5,1052.5,0.995268
2106.5,1053,1
2107.5,1053.5,1
2108.5,1054,1
2109.5,1054.5,0
2110.5,1055,0
2111.5,1055.5,0
2112.5,1056,0
2113.5,1056.5,0
2114.5,1057,0
2115.5,1057.5,0
2116.5,1058,0
2117.5,1058.5,0
2118.5,1059,1
2119.5,1059.5,0.996647
2120.5,1060,0.976453
2121.5,1060.5,0.943329
2122.5,1061,0.906361
2123.5,1061.5,0.876291
2124.5,1062,0.864002
2125.5,1062.5,0.875272
2126.5,1063,0.904453
2127.5,1063.5,0.941103
2128.5,1064,0.974618
2129.5,1064.5,0.995869
2130.5,1065,1
2131.5,1065.5,1
2132.5,1066,1
2133.5,1066.5,0
2134.5,1067,0
2135.5,1067.5,0
2136.5,1068,0
2137.5,1068.5,0
2138.5,1069,0
2139.5,1069.5,0
2140.5,1070,0
2141.5,1070.5,0
2142.5,1071,1
2143.5,1071.5,0.99704
2144.5,1072,0.977578
2145.5,1072.5,0.945198
2146.5,1073,0.90895
2147.5,1073.5,0.879472
2148.5,1074,0.867489
2149.5,1074.5,0.878675
2150.5,1075,0.907404
2151.5,1075.5,0.943369
2152.5,1076,0.976068
2153.5,1076.5,0.996481
2154.5,1077,1
2155.5,1077.5,1
2156.5,1078,1
2157.5,1078.5,0
2158.5,1079,0
2159.5,1079.5,0
2160.5,1080,0
2161.5,1080.5,0
2162.5,1081,0
2163.5,1081.5,0
2164.5,1082,0
2165.5,1082.5,0
2166.5,1083,1
2167.5,1083.5,0.997445
2168.5,1084,0.978777
2169.5,1084.5,0.94718
2170.5,1085,0.911635
2171.5,1085.5,0.882662
2172.5,1086,0.870924
2173.5,1086.5,0.882117
2174.5,1087,0.910484
2175.5,1087.5,0.945769
2176.5,1088,0.9776
2177.5,1088.5,0.996994
2178.5,1089,1
2179.5,1089.5,1
2180.5,1090,1
2181.5,1090.5,0
2182.5,1091,0
2183.5,1091.5,0
2184.5,1092,0
2185.5,1092.5,0
2186.5,1093,0
2187.5,1093.5,0
2188.5,1094,0
2189.5,1094.5,0
2190.5,1095,1
2191.5,1095.5,0.997787
2192.5,1096,0.979844
2193.5,1096.5,0.948982
2194.5,1097,0.914147
2195.5,1097.5,0.885755
2196.5,1098,0.874308
2197.5,1098.5,0.885408
2198.5,1099,0.913322
2199.5,1099.5,0.947927
2200.5,1100,0.978951
2201.5,1100.5,0.997464
2202.5,1101,1
2203.5,1101.5,1
2204.5,1102,1
2205.5,1102.5,0
2206.5,1103,0
2207.5,1103.5,0
2208.5,1104,0
2209.5,1104.5,0
2210.5,1105,0
2211.5,1105.5,0
2212.5,1106,0
2213.5,1106.5,0
2214.5,1107,0
2215.5,1107.5,0.998103
2216.5,1108,0.980877
2217.5,1108.5,0.95075
2218.5,1109,0.91662
2219.5,1109.5,0.888801
2220.5,1110,0.87764
2221.5,1110.5,0.888642
2222.5,1111,0.916104
2223.5,1111.5,0.950034
2224.5,1112,0.980254
2225.5,1112.5,0.997893
2226.5,1113,1
2227.5,1113.5,1
2228.5,1114,1
2229.5,1114.5,0
2230.5,1115,0
2231.5,1115.5,0
2232.5,1116,0
2233.5,1116.5,0
2234.5,1117,0
2235.5,1117.5,0
2236.5,1118,0
2237.5,1118.5,0
2238.5,1119,1
2239.5,1119.5,0.998394
2240.5,1120,0.981883
2241.5,1120.5,0.952483
2242.5,1121,0.919051
2243.5,1121.5,0.8918
2244.5,1122,0.880919
2245.5,1122.5,0.891819
2246.5,1123,0.918831
2247.5,1123.5,0.952089
2248.5,1124,0.98151
2249.5,1124.5,0.998281
2250.5,1125,1
2251.5,1125.5,1
2252.5,1126,1
2253.5,1126.5,0
2254.5,1127,0
2255.5,1127.5,0
2256.5,1128,0
2257.5,1128.5,0
2258.5,1129,0
2259.5,1129.5,0
2260.5,1130,0
2261.5,1130.5,0
2262.5,1131,1
2263.5,1131.5,0.99866
2264.5,1132,0.982859
2265.5,1132.5,0.954181
2266.5,1133,0.921441
2267.5,1133.5,0.89475
2268.5,1134,0.884144
2269.5,1134.5,0.894939
2270.5,1135,0.921501
2271.5,1135.5,0.954091
2272.5,1136,0.982719
2273.5,1136.5,0.998628
2274.5,1137,1
2275.5,1137.5,1
2276.5,1138,1
2277.5,1138.5,0
2278.5,1139,0
2279.5,1139.5,0
2280.5,1140,0
2281.5,1140.5,0
2282.5,1141,0
2283.5,1141.5,0
2284.5,1142,0
2285.5,1142.5,0
2286.5,1143,0
2287.5,1143.5,0
2288.5,1144,0.983773
2289.5,1144.5,0.955844
2290.5,1145,0.923788
2291.5,1145.5,0.897652
2292.5,1146,0.887314
2293.5,1146.5,0.898001
2294.5,1147,0
2295.5,1147.5,0.956042
2296.5,1148,0
2297.5,1148.5,0.998934
2298.5,1149,0
2299.5,1149.5,0
2300.5,1150,0
2301.5,1150.5,0
2302.5,1151,0
2303.5,1151.5,0
2304.5,1152,0
2305.5,1152.5,0
2306.5,1153,0
2307.5,1153.5,0
2308.5,1154,0
2309.5,1154.5,0
2310.5,1155,0
2311.5,1155.5,0.999119
2312.5,1156,0.984714
2313.5,1156.5,0.957469
2314.5,1157,0.926093
2315.5,1157.5,0.900504
2316.5,1158,0.890429
2317.5,1158.5,0.901005
2318.5,1159,0.926671
2319.5,1159.5,0.957941
2320.5,1160,0.984998
2321.5,1160.5,0.999201
2322.5,1161,1
2323.5,1161.5,1
2324.5,1162,1
2325.5,1162.5,0
2326.5,1163,0
2327.5,1163.5,0
2328.5,1164,0
2329.5,1164.5,0
2330.5,1165,0
2331.5,1165.5,0
2332.5,1166,0
2333.5,1166.5,0
2334.5,1167,0
2335.5,1167.5,0.999312
2336.5,1168,0.98558
2337.5,1168.5,0.959044
2338.5,1169,0.928112
2339.5,1169.5,0.903306
2340.5,1170,0.893489
2341.5,1170.5,0.90395
2342.5,1171,0.929171
2343.5,1171.5,0.959787
2344.5,1172,0.986068
2345.5,1172.5,0.999428
2346.5,1173,1
2347.5,1173.5,1
2348.5,1174,0
2349.5,1174.5,0
2350.5,1175,0
2351.5,1175.5,0
2352.5,1176,0
2353.5,1176.5,0
2354.5,1177,0
2355.5,1177.5,0
2356.5,1178,0
2357.5,1178.5,0
2358.5,1179,0
2359.5,1179.5,0
2360.5,1180,0
2361.5,1180.5,0
2362.5,1181,0.930574
2363.5,1181.5,0.906058
2364.5,1182,0.896492
2365.5,1182.5,0.906836
2366.5,1183,0.931614
2367.5,1183.5,0.961563
2368.5,1184,0.987092
2369.5,1184.5,0.999617
2370.5,1185,0.993647
2371.5,1185.5,1
2372.5,1186,1
2373.5,1186.5,0
2374.5,1187,0
2375.5,1187.5,0
2376.5,1188,0
2377.5,1188.5,0
2378.5,1189,0
2379.5,1189.5,0
2380.5,1190,0
2381.5,1190.5,0
2382.5,1191,0.993678
2383.5,1191.5,0.999626
2384.5,1192,0.987293
2385.5,1192.5,0.962137
2386.5,1193,0.932749
2387.5,1193.5,0.908759
2388.5,1194,0.899438
2389.5,1194.5,0.909662
2390.5,1195,0.934
2391.5,1195.5,0.963325
2392.5,1196,0.988071
2393.5,1196.5,0.999767
2394.5,1197,0.992962
2395.5,1197.5,1
2396.5,1198,1
2397.5,1198.5,0
2398.5,1199,0
2399.5,1199.5,0
2400.5,1200,0
2401.5,1200.5,0
2402.5,1201,0
2403.5,1201.5,0
2404.5,1202,0
2405.5,1202.5,0
2406.5,1203,0.993146
2407.5,1203.5,0.999747
2408.5,1204,0.988091
2409.5,1204.5,0.963621
2410.5,1205,0.93488
2411.5,1205.5,0.911408
2412.5,1206,0.902328
2413.5,1206.5,0.91243
2414.5,1207,0.936329
2415.5,1207.5,0.965016
2416.5,1208,0.989005
2417.5,1208.5,0.999879
2418.5,1209,0.992248
2419.5,1209.5,1
2420.5,1210,1
2421.5,1210.5,0
2422.5,1211,0
2423.5,1211.5,0
2424.5,1212,0
2425.5,1212.5,0
2426.5,1213,0
2427.5,1213.5,0
2428.5,1214,0
2429.5,1214.5,0
2430.5,1215,0
2431.5,1215.5,0.999844
2432.5,1216,0.98886
2433.5,1216.5,0.965068
2434.5,1217,0.936967
2435.5,1217.5,0.914006
2436.5,1218,0.905161
2437.5,1218.5,0.915137
2438.5,1219,0.938601
2439.5,1219.5,0.966657
2440.5,1220,0.989894
2441.5,1220.5,0.999954
2442.5,1221,0.991505
2443.5,1221.5,1
2444.5,1222,1
2445.5,1222.5,0
2446.5,1223,0
2447.5,1223.5,0
2448.5,1224,0
2449.5,1224.5,0
2450.5,1225,0
2451.5,1225.5,0
2452.5,1226,0
2453.5,1226.5,0
2454.5,1227,0.992025
2455.5,1227.5,0.999917
2456.5,1228,0.9896
2457.5,1228.5,0.966479
2458.5,1229,0.93901
2459.5,1229.5,0.916551
2460.5,1230,0.907936
2461.5,1230.5,0.917786
2462.5,1231,0.940816
2463.5,1231.5,0.968246
2464.5,1232,0.99074
2465.5,1232.5,0.999993
2466.5,1233,0.990736
2467.5,1233.5,1
2468.5,1234,1
2469.5,1234.5,0
2470.5,1235,0
2471.5,1235.5,0
2472.5,1236,0
2473.5,1236.5,0
2474.5,1237,0
2475.5,1237.5,0
2476.5,1238,0
2477.5,1238.5,0
2478.5,1239,0.991438
2479.5,1239.5,0.999967
2480.5,1240,0.990311
2481.5,1240.5,0.967854
2482.5,1241,0.941008
2483.5,1241.5,0.919045
2484.5,1242,0.910653
2485.5,1242.5,0.920374
2486.5,1243,0.942975
2487.5,1243.5,0.969784
2488.5,1244,0.991542
2489.5,1244.5,0.999997
2490.5,1245,0.98994
2491.5,1245.5,1
2492.5,1246,1
2493.5,1246.5,0
2494.5,1247,0
2495.5,1247.5,0
2496.5,1248,0
2497.5,1248.5,0
2498.5,1249,0
2499.5,1249.5,0
2500.5,1250,0
2501.5,1250.5,0
2502.5,1251,0.990833
2503.5,1251.5,0.999994
2504.5,1252,0.990994
2505.5,1252.5,0.969194
2506.5,1253,0.942962
2507.5,1253.5,0.921486
2508.5,1254,0.913313
2509.5,1254.5,0.922902
2510.5,1255,0.945077
2511.5,1255.5,0.971272
2512.5,1256,0.992301
