Time,RAVEN_sample_ID,Temp_original,Temp_fourier,Temp_nofourier,Temp_gaussianed,RH_original,RH_fourier,RH_nofourier,RH_gaussianed
385530.0,0,25.0,22.4845712421,2.51542875794,0.665207684443,14.44,31.7192822691,-17.2792822691,-1.39604587678
385560.0,0,24.0,21.7204582407,2.27954175929,0.605185424783,13.67,33.0310191216,-19.3610191216,-1.58145009953
385590.0,0,23.0,21.0154514169,1.98454858305,0.528109992899,14.51,34.1823155862,-19.6723155862,-1.61143309741
385620.0,0,23.0,20.3764377288,2.62356227125,0.692159146222,14.21,35.1751434312,-20.9651434312,-1.74169394087
385650.0,0,23.0,19.8045403439,3.19545965614,0.844180827049,15.09,36.0251744969,-20.9351744969,-1.73862238436
385680.0,0,23.0,19.2957600214,3.70423997858,0.988502806666,14.9,36.7592813324,-21.8592813324,-1.82700743075
385710.0,0,22.0,18.8419747842,3.15802521578,0.834825062763,14.9,37.4122487231,-22.5122487231,-1.88212796821
385740.0,0,22.0,18.4322173273,3.56778267272,0.948153867139,14.77,38.022945207,-23.252945207,-1.9531500281
385770.0,0,22.0,18.0541307372,3.9458692628,1.06149251629,15.69,38.630240495,-22.940240495,-1.92363857614
385800.0,0,22.0,17.6954912122,4.30450878779,1.17116484801,15.69,39.2689716143,-23.5789716143,-1.98094567905
385830.0,0,22.0,17.3456823819,4.65431761809,1.28563048943,15.69,39.9662564407,-24.2762564407,-2.04929110232
385860.0,0,22.0,16.997009797,5.00299020298,1.39029733825,15.8,40.7384283728,-24.9384283728,-2.10459214525
385890.0,0,21.0,16.6457559129,4.35424408708,1.18667522013,15.8,41.5888219425,-25.7888219425,-2.17893990305
385920.0,0,21.0,16.2928946089,4.70710539113,1.30118369775,15.9,42.5065791877,-26.6065791877,-2.25874593268
385950.0,0,21.0,15.9444086755,5.05559132445,1.4052263075,16.9,43.4665747365,-26.5665747365,-2.25522647464
385980.0,0,21.0,15.611182084,5.38881791603,1.50030665802,16.94,44.4304787274,-27.4904787274,-2.3430962057
386010.0,0,20.0,15.3084692616,4.6915307384,1.29656218176,18.02,45.3488963113,-27.3288963113,-2.32711941806
386040.0,0,20.0,15.0549739508,4.94502604916,1.37408785684,17.9,46.1644460938,-28.2644460938,-2.41323416955
386070.0,0,19.0,14.871598415,4.128401585,1.11819042986,19.05,46.8155727227,-27.7655727227,-2.3717558584
386100.0,0,18.0,14.779947841,3.22005215904,0.850367495167,19.21,47.2408355468,-28.0308355468,-2.3965311985
386130.0,0,17.0,14.8006930952,2.19930690479,0.583490219952,20.45,47.3833795473,-26.9333795473,-2.28859978248
386160.0,0,17.0,14.9519062471,2.0480937529,0.544210282475,20.7,47.19527907,-26.49527907,-2.2479896091
386190.0,0,16.0,15.2474866838,0.75251331622,0.186350602474,22.05,46.641450379,-24.591450379,-2.080023859
386220.0,0,16.0,15.6957909479,0.304209052147,0.05861610605,22.3,45.7028554045,-23.4028554045,-1.96574235023
386250.0,0,17.0,16.2985669245,0.701433075474,0.172316492976,20.94,44.3787645091,-23.4387645091,-1.96880545174
386280.0,0,18.0,17.0502735194,0.949726480588,0.239489965838,20.43,42.6879076136,-22.2579076136,-1.85977523504
386310.0,0,20.0,17.9378418071,2.06215819293,0.547792756244,18.06,40.6684164486,-22.6084164486,-1.89117432551
386340.0,0,22.0,18.9409044898,3.05909551017,0.807491292081,16.01,38.3765410699,-22.3665410699,-1.86906099069
386370.0,0,24.0,20.032489356,3.96751064402,1.06807157765,14.2,35.8842056576,-21.6842056576,-1.81153575968
386400.0,0,26.0,21.1801413759,4.81985862408,1.3350001217,13.06,33.2755464444,-20.2155464444,-1.66665371857
386430.0,0,27.0,22.3474092306,4.65259076941,1.28512693297,12.32,30.6426431255,-18.3226431255,-1.48526715069
386460.0,0,29.0,23.4956073878,5.5043926122,1.53008363193,11.65,28.0807096189,-16.4307096189,-1.32045509413
