Time,DNI
0.0,0.0
30.0,0.0
60.0,0.0
90.0,0.0
120.0,0.0
150.0,0.0
180.0,0.0
210.0,0.0
240.0,0.0
270.0,0.0
300.0,0.0
330.0,0.0
360.0,0.0
390.0,0.0
420.0,44.63047531976804
450.0,323.071351719325
480.0,428.51696300664264
510.0,283.5242712244084
540.0,108.98948653672073
570.0,77.70374871449201
600.0,326.4864640912492
630.0,269.7472856131584
660.0,20.3483762926935
690.0,426.7875509720701
720.0,731.7110235105633
750.0,297.10992226190797
780.0,1.3176957738459123
810.0,3.8069459019767464
840.0,7.664231407562738
870.0,9.378161778852473
900.0,3.9008629169492224
930.0,-18.13270877665491
960.0,-14.884572192701341
990.0,-6.567330487397307
1020.0,0.0
1050.0,0.0
1080.0,0.0
1110.0,0.0
1140.0,0.0
1170.0,0.0
1200.0,0.0
1230.0,0.0
1260.0,0.0
1290.0,0.0
1320.0,0.0
1350.0,0.0
1380.0,0.0
1410.0,0.0
1440.0,0.0
1470.0,0.0
1500.0,0.0
1530.0,0.0
1560.0,0.0
1590.0,0.0
1620.0,0.0
1650.0,0.0
1680.0,0.0
1710.0,0.0
1740.0,0.0
1770.0,0.0
1800.0,0.0
1830.0,0.0
1860.0,-168.77147332173698
1890.0,-165.20713146983917
1920.0,-92.87805531191543
1950.0,-61.49806283711678
1980.0,-48.85513045674804
2010.0,-37.03827713430792
2040.0,-32.18326481057977
2070.0,-31.860687000202574
2100.0,-32.197610636075524
2130.0,-31.688431584421437
2160.0,-30.679207197002142
2190.0,-23.168895912823473
2220.0,-16.809055053920815
2250.0,-18.101821689631493
2280.0,-20.91412760105402
2310.0,-26.663491064385425
2340.0,-39.1874717346833
2370.0,-66.3300570929598
2400.0,-136.15423527930807
2430.0,-150.89603907791653
2460.0,0.0
2490.0,0.0
2520.0,0.0
2550.0,0.0
2580.0,0.0
2610.0,0.0
2640.0,0.0
2670.0,0.0
2700.0,0.0
2730.0,0.0
2760.0,0.0
2790.0,0.0
2820.0,0.0
2850.0,0.0
2880.0,0.0
2910.0,0.0
2940.0,0.0
2970.0,0.0
3000.0,0.0
3030.0,0.0
3060.0,0.0
3090.0,0.0
3120.0,0.0
3150.0,0.0
3180.0,0.0
3210.0,0.0
3240.0,0.0
3270.0,0.0
3300.0,-38.872670552358855
3330.0,153.8839211920415
3360.0,102.93650911056739
3390.0,-21.390120341641705
3420.0,136.3897544756702
3450.0,-11.71389601404644
3480.0,7.19936703060489
3510.0,26.574800825140187
3540.0,1.2941825632070731
3570.0,-0.13009976839623505
3600.0,0.9630992322778411
3630.0,106.58449397068716
3660.0,432.0974860201602
3690.0,376.0253507418495
3720.0,569.5480255447782
3750.0,420.3424656917
3780.0,362.7821982054735
3810.0,339.5451395470117
3840.0,235.69118692919187
3870.0,42.46314279561491
3900.0,0.0
3930.0,0.0
3960.0,0.0
3990.0,0.0
4020.0,0.0
4050.0,0.0
4080.0,0.0
4110.0,0.0
4140.0,0.0
4170.0,0.0
4200.0,0.0
4230.0,0.0
4260.0,0.0
4290.0,0.0
4320.0,0.0
4350.0,0.0
4380.0,0.0
4410.0,0.0
4440.0,0.0
4470.0,0.0
4500.0,0.0
4530.0,0.0
4560.0,0.0
4590.0,0.0
4620.0,0.0
4650.0,0.0
4680.0,0.0
4710.0,0.0
4740.0,-91.68044534725398
4770.0,-120.65099936896581
4800.0,-58.03781504874041
4830.0,-34.15162565092828
4860.0,-25.276091831603367
4890.0,-22.323587918234125
4920.0,-21.366268971291902
4950.0,-18.946993235556874
4980.0,-16.177095078306593
5010.0,130.46157345529946
5040.0,123.63681812902587
5070.0,254.3687657809785
5100.0,-7.964288588862132
5130.0,80.186442580051
5160.0,2.0480291211951
5190.0,40.39230367944174
5220.0,305.8042063427224
5250.0,238.4832836313285
5280.0,190.632764751485
5310.0,45.51895251095803
5340.0,0.0
5370.0,0.0
5400.0,0.0
5430.0,0.0
5460.0,0.0
5490.0,0.0
5520.0,0.0
5550.0,0.0
5580.0,0.0
5610.0,0.0
5640.0,0.0
5670.0,0.0
5700.0,0.0
5730.0,0.0
5760.0,0.0
5790.0,0.0
5820.0,0.0
5850.0,0.0
5880.0,0.0
5910.0,0.0
5940.0,0.0
5970.0,0.0
6000.0,0.0
6030.0,0.0
6060.0,0.0
6090.0,0.0
6120.0,0.0
6150.0,0.0
6180.0,45.79997198530875
6210.0,261.1914437091432
6240.0,174.1998138719124
6270.0,493.2173028419902
6300.0,172.14684580813844
6330.0,51.13199137452182
6360.0,-0.8809327401253313
6390.0,-2.4269146982194343
6420.0,-4.612378713449857
6450.0,-6.914455431158672
6480.0,-12.659235240948533
6510.0,-16.81745774347894
6540.0,76.00397131138186
6570.0,486.37940199677246
6600.0,654.5832073300799
6630.0,470.4823129790701
6660.0,220.8729766077663
6690.0,-26.52495940655706
6720.0,-78.34796122227925
6750.0,-103.72944729904266
6780.0,0.0
6810.0,0.0
6840.0,0.0
6870.0,0.0
6900.0,0.0
6930.0,0.0
6960.0,0.0
6990.0,0.0
7020.0,0.0
7050.0,0.0
7080.0,0.0
7110.0,0.0
7140.0,0.0
7170.0,0.0
7200.0,0.0
7230.0,0.0
7260.0,0.0
7290.0,0.0
7320.0,0.0
7350.0,0.0
7380.0,0.0
7410.0,0.0
7440.0,0.0
7470.0,0.0
7500.0,0.0
7530.0,0.0
7560.0,0.0
7590.0,0.0
7620.0,-131.43441827115382
7650.0,-177.58659587244375
7680.0,-105.35046104390665
7710.0,-75.28384927447905
7740.0,-62.34216767919747
7770.0,-49.34798691128924
7800.0,-39.345512023717106
7830.0,-38.865908260966876
7860.0,-33.01268322947635
7890.0,-31.25929555332607
7920.0,-31.92630010570747
7950.0,-27.975598586061324
7980.0,-21.99941873405362
8010.0,-21.397844799149652
8040.0,-22.84911795637788
8070.0,-25.391182262868483
8100.0,-33.01695469395008
8130.0,-53.488626930076066
8160.0,-109.26887835423253
8190.0,-123.2924924501304
8220.0,0.0
8250.0,0.0
8280.0,0.0
8310.0,0.0
8340.0,0.0
8370.0,0.0
8400.0,0.0
8430.0,0.0
