Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
689.00	33.000	82.759	0.012083	3293.7	3692.5	6.4669	2.0199	2.9243	721.35	2.2974	38.780	0.12281	supercritical
690.00	33.000	82.626	0.012103	3296.0	3695.4	6.4699	2.0196	2.9218	721.89	2.2914	38.815	0.12292	supercritical
691.00	33.000	82.493	0.012122	3298.3	3698.3	6.4730	2.0193	2.9193	722.42	2.2854	38.850	0.12302	supercritical
692.00	33.000	82.361	0.012142	3300.6	3701.2	6.4760	2.0190	2.9168	722.96	2.2794	38.885	0.12313	supercritical
693.00	33.000	82.229	0.012161	3302.8	3704.2	6.4790	2.0187	2.9143	723.49	2.2734	38.921	0.12323	supercritical
694.00	33.000	82.098	0.012181	3305.1	3707.1	6.4820	2.0185	2.9119	724.03	2.2674	38.956	0.12334	supercritical
695.00	33.000	81.967	0.012200	3307.4	3710.0	6.4850	2.0182	2.9095	724.56	2.2615	38.991	0.12344	supercritical
696.00	33.000	81.837	0.012219	3309.6	3712.9	6.4880	2.0179	2.9071	725.09	2.2556	39.026	0.12354	supercritical
697.00	33.000	81.708	0.012239	3311.9	3715.8	6.4910	2.0177	2.9047	725.62	2.2497	39.061	0.12364	supercritical
698.00	33.000	81.579	0.012258	3314.2	3718.7	6.4940	2.0174	2.9024	726.15	2.2438	39.096	0.12373	supercritical
699.00	33.000	81.450	0.012277	3316.4	3721.6	6.4970	2.0172	2.9000	726.68	2.2379	39.131	0.12385	supercritical
700.00	33.000	81.322	0.012297	3318.7	3724.5	6.5000	2.0170	2.8977	727.20	2.2320	39.166	0.12396	supercritical

