Source,Location ID,City,State,Country,Latitude,Longitude
NSRDB,862903,-,-,-,43.09,-89.42
Year,Month,Day,Hour,Minute,DHI,DNI
2018,1,1,0,0,0,0
2018,1,1,0,30,0,0
2018,1,1,1,0,0,0
2018,1,1,1,30,0,0
2018,1,1,2,0,0,0
2018,1,1,2,30,0,0
2018,1,1,3,0,0,0
2018,1,1,3,30,0,0
2018,1,1,4,0,0,0
2018,1,1,4,30,0,0
2018,1,1,5,0,0,0
2018,1,1,5,30,0,0
2018,1,1,6,0,0,0
2018,1,1,6,30,0,0
2018,1,1,7,0,0,0
2018,1,1,7,30,5,59
2018,1,1,8,0,23,305
2018,1,1,8,30,38,595
2018,1,1,9,0,44,759
2018,1,1,9,30,51,817
2018,1,1,10,0,60,739
2018,1,1,10,30,84,497
2018,1,1,11,0,99,439
2018,1,1,11,30,102,475
2018,1,1,12,0,100,542
2018,1,1,12,30,69,847
2018,1,1,13,0,82,718
2018,1,1,13,30,78,681
2018,1,1,14,0,58,833
2018,1,1,14,30,68,561
2018,1,1,15,0,64,264
2018,1,1,15,30,42,305
2018,1,1,16,0,24,204
2018,1,1,16,30,5,50
2018,1,1,17,0,0,0
2018,1,1,17,30,0,0
2018,1,1,18,0,0,0
2018,1,1,18,30,0,0
2018,1,1,19,0,0,0
2018,1,1,19,30,0,0
2018,1,1,20,0,0,0
2018,1,1,20,30,0,0
2018,1,1,21,0,0,0
2018,1,1,21,30,0,0
2018,1,1,22,0,0,0
2018,1,1,22,30,0,0
2018,1,1,23,0,0,0
2018,1,1,23,30,0,0
2018,1,2,0,0,0,0
2018,1,2,0,30,0,0
2018,1,2,1,0,0,0
2018,1,2,1,30,0,0
2018,1,2,2,0,0,0
2018,1,2,2,30,0,0
2018,1,2,3,0,0,0
2018,1,2,3,30,0,0
2018,1,2,4,0,0,0
2018,1,2,4,30,0,0
2018,1,2,5,0,0,0
2018,1,2,5,30,0,0
2018,1,2,6,0,0,0
2018,1,2,6,30,0,0
2018,1,2,7,0,0,0
2018,1,2,7,30,5,63
2018,1,2,8,0,24,314
2018,1,2,8,30,37,573
2018,1,2,9,0,44,708
2018,1,2,9,30,66,561
2018,1,2,10,0,75,616
