scaling,ProbabilityWeight,prefix,PointProbability,filename
8,1.0,1,1.0,synData_0.csv
8,1.0,2,1.0,synData_1.csv
8,1.0,3,1.0,synData_2.csv
8,1.0,4,1.0,synData_3.csv
8,1.0,5,1.0,synData_4.csv
