Time,RAVEN_sample_ID,DNI_original,DNI_zerofilter,DNI_gaussianed
0.0,0,0.0,0.0,-8.1258906647
30.0,0,0.0,0.0,-8.1258906647
60.0,0,0.0,0.0,-8.1258906647
90.0,0,0.0,0.0,-8.1258906647
120.0,0,0.0,0.0,-8.1258906647
150.0,0,0.0,0.0,-8.1258906647
180.0,0,0.0,0.0,-8.1258906647
210.0,0,0.0,0.0,-8.1258906647
240.0,0,0.0,0.0,-8.1258906647
270.0,0,0.0,0.0,-8.1258906647
300.0,0,0.0,0.0,-8.1258906647
330.0,0,0.0,0.0,-8.1258906647
360.0,0,0.0,0.0,-8.1258906647
390.0,0,0.0,0.0,-8.1258906647
420.0,0,53.3920582541,53.3920582541,0.453288309893
450.0,0,415.726674541,415.726674541,1.40097819156
480.0,0,635.297327005,635.297327005,1.68500249633
510.0,0,625.369978792,625.369978792,1.66401139863
540.0,0,784.869256349,784.869256349,1.88095159463
570.0,0,876.602475357,876.602475357,2.04254089192
600.0,0,576.395942083,576.395942083,1.59656133024
630.0,0,551.662422718,551.662422718,1.57173407881
660.0,0,509.2655249,509.2655249,1.51450556298
690.0,0,634.703650119,634.703650119,1.68388103112
720.0,0,716.623041774,716.623041774,1.77777233364
750.0,0,871.014353882,871.014353882,2.02739919816
780.0,0,762.209917401,762.209917401,1.84624453053
810.0,0,748.680162094,748.680162094,1.82548052485
840.0,0,744.507447805,744.507447805,1.82003894128
870.0,0,539.171792165,539.171792165,1.55612916605
900.0,0,752.60608483,752.60608483,1.83113387979
930.0,0,640.398100126,640.398100126,1.69342773201
960.0,0,406.291002741,406.291002741,1.38869900578
990.0,0,45.851769645,45.851769645,0.385303221601
1020.0,0,0.0,0.0,-8.1258906647
1050.0,0,0.0,0.0,-8.1258906647
1080.0,0,0.0,0.0,-8.1258906647
1110.0,0,0.0,0.0,-8.1258906647
1140.0,0,0.0,0.0,-8.1258906647
1170.0,0,0.0,0.0,-8.1258906647
1200.0,0,0.0,0.0,-8.1258906647
1230.0,0,0.0,0.0,-8.1258906647
1260.0,0,0.0,0.0,-8.1258906647
1290.0,0,0.0,0.0,-8.1258906647
1320.0,0,0.0,0.0,-8.1258906647
1350.0,0,0.0,0.0,-8.1258906647
1380.0,0,0.0,0.0,-8.1258906647
1410.0,0,0.0,0.0,-8.1258906647
1440.0,0,0.0,0.0,-8.1258906647
1470.0,0,0.0,0.0,-8.1258906647
1500.0,0,0.0,0.0,-8.1258906647
1530.0,0,0.0,0.0,-8.1258906647
1560.0,0,0.0,0.0,-8.1258906647
1590.0,0,0.0,0.0,-8.1258906647
1620.0,0,0.0,0.0,-8.1258906647
1650.0,0,0.0,0.0,-8.1258906647
1680.0,0,0.0,0.0,-8.1258906647
1710.0,0,0.0,0.0,-8.1258906647
1740.0,0,0.0,0.0,-8.1258906647
1770.0,0,0.0,0.0,-8.1258906647
1800.0,0,0.0,0.0,-8.1258906647
1830.0,0,0.0,0.0,-8.1258906647
1860.0,0,51.973280261,51.973280261,0.440680458294
1890.0,0,112.419253786,112.419253786,0.870114796323
1920.0,0,224.884985963,224.884985963,1.20189443314
1950.0,0,94.3361978281,94.3361978281,0.766385614952
1980.0,0,394.016189855,394.016189855,1.37571585487
2010.0,0,614.853670072,614.853670072,1.65249592281
2040.0,0,422.720417244,422.720417244,1.41247385267
2070.0,0,647.049237335,647.049237335,1.70180410608
2100.0,0,898.714645298,898.714645298,2.09908597942
2130.0,0,934.222898161,934.222898161,2.24395740292
2160.0,0,952.227994535,952.227994535,2.36854919982
2190.0,0,947.730499724,947.730499724,2.33324266077
2220.0,0,936.077709037,936.077709037,2.25459903686
2250.0,0,916.765246018,916.765246018,2.17632812032
2280.0,0,886.921849626,886.921849626,2.06438512388
2310.0,0,841.121157048,841.121157048,1.96481752463
2340.0,0,768.505852301,768.505852301,1.8566063913
2370.0,0,645.18354214,645.18354214,1.69957837008
2400.0,0,414.991542479,414.991542479,1.3997461903
2430.0,0,52.4457573983,52.4457573983,0.445009140166
2460.0,0,0.0,0.0,-8.1258906647
2490.0,0,0.0,0.0,-8.1258906647
2520.0,0,0.0,0.0,-8.1258906647
2550.0,0,0.0,0.0,-8.1258906647
2580.0,0,0.0,0.0,-8.1258906647
2610.0,0,0.0,0.0,-8.1258906647
2640.0,0,0.0,0.0,-8.1258906647
2670.0,0,0.0,0.0,-8.1258906647
2700.0,0,0.0,0.0,-8.1258906647
2730.0,0,0.0,0.0,-8.1258906647
2760.0,0,0.0,0.0,-8.1258906647
2790.0,0,0.0,0.0,-8.1258906647
2820.0,0,0.0,0.0,-8.1258906647
2850.0,0,0.0,0.0,-8.1258906647
2880.0,0,0.0,0.0,-8.1258906647
2910.0,0,0.0,0.0,-8.1258906647
2940.0,0,0.0,0.0,-8.1258906647
2970.0,0,0.0,0.0,-8.1258906647
3000.0,0,0.0,0.0,-8.1258906647
3030.0,0,0.0,0.0,-8.1258906647
3060.0,0,0.0,0.0,-8.1258906647
3090.0,0,0.0,0.0,-8.1258906647
3120.0,0,0.0,0.0,-8.1258906647
3150.0,0,0.0,0.0,-8.1258906647
3180.0,0,0.0,0.0,-8.1258906647
3210.0,0,0.0,0.0,-8.1258906647
3240.0,0,0.0,0.0,-8.1258906647
3270.0,0,0.0,0.0,-8.1258906647
3300.0,0,50.8539141597,50.8539141597,0.430457878953
3330.0,0,413.480091885,413.480091885,1.39721981679
3360.0,0,644.681612893,644.681612893,1.69893022743
3390.0,0,768.432364643,768.432364643,1.85646519062
3420.0,0,757.252435626,757.252435626,1.83875947321
3450.0,0,-26.8288395834,0.0,-8.1258906647
3480.0,0,-18.9028081128,0.0,-8.1258906647
3510.0,0,-22.5205127907,0.0,-8.1258906647
3540.0,0,-27.7984500106,0.0,-8.1258906647
3570.0,0,-29.2235082209,0.0,-8.1258906647
3600.0,0,-30.1344561999,0.0,-8.1258906647
3630.0,0,569.478945843,569.478945843,1.58854186727
3660.0,0,583.978927138,583.978927138,1.60961725691
3690.0,0,556.886464217,556.886464217,1.57757906718
3720.0,0,-23.6229504501,0.0,-8.1258906647
3750.0,0,-25.8814281612,0.0,-8.1258906647
3780.0,0,-35.5356466459,0.0,-8.1258906647
3810.0,0,-57.9571348019,0.0,-8.1258906647
3840.0,0,-122.190175869,0.0,-8.1258906647
3870.0,0,59.7246000775,59.7246000775,0.509096928716
