Time,Time,Clearsky DNI,Hour angle,Sunrise hour angle,Sunset hour angle,Normalised hour angle
2018-01-01 07:30:00-07:00,450.0,0.0,-74.2046195831069,-75.43975749884024,75.6813716456931,-0.9820548589487718
2018-01-01 08:30:00-07:00,510.0,662.0,-59.20461958310688,-75.43975749884024,75.6813716456931,-0.783538607979605
2018-01-01 09:30:00-07:00,570.0,833.0,-44.20461958310691,-75.43975749884024,75.6813716456931,-0.5850223570104389
2018-01-01 10:30:00-07:00,630.0,909.0,-29.20461958310691,-75.43975749884024,75.6813716456931,-0.3865061060412724
2018-01-01 11:30:00-07:00,690.0,944.0,-14.204619583106911,-75.43975749884024,75.6813716456931,-0.18798985507210592
2018-01-01 12:30:00-07:00,750.0,952.0,0.7953804168930892,-75.43975749884024,75.6813716456931,0.010526395897060585
2018-01-01 13:30:00-07:00,810.0,939.0,15.795380416893089,-75.43975749884024,75.6813716456931,0.20904264686622706
2018-01-01 14:30:00-07:00,870.0,901.0,30.79538041689309,-75.43975749884024,75.6813716456931,0.40755889783539356
2018-01-01 15:30:00-07:00,930.0,820.0,45.79538041689309,-75.43975749884024,75.6813716456931,0.60607514880456
2018-01-01 16:30:00-07:00,990.0,638.0,60.79538041689309,-75.43975749884024,75.6813716456931,0.8045913997737265
2018-01-02 07:30:00-07:00,1890.0,0.0,-74.31633816930079,-75.5024343314341,75.75092068723256,-0.9826735831430539
2018-01-02 08:30:00-07:00,1950.0,666.0,-59.31633816930077,-75.5024343314341,75.75092068723256,-0.7843308753313981
2018-01-02 09:30:00-07:00,2010.0,835.0,-44.3163381693008,-75.5024343314341,75.75092068723256,-0.5859881675197429
2018-01-02 10:30:00-07:00,2070.0,908.0,-29.3163381693008,-75.5024343314341,75.75092068723256,-0.38764545970808745
2018-01-02 11:30:00-07:00,2130.0,939.0,-14.316338169300797,-75.5024343314341,75.75092068723256,-0.18930275189643195
2018-01-02 12:30:00-07:00,2190.0,945.0,0.6836618306992024,-75.5024343314341,75.75092068723256,0.009039955915223559
2018-01-02 13:30:00-07:00,2250.0,930.0,15.683661830699203,-75.5024343314341,75.75092068723256,0.20738266372687905
2018-01-02 14:30:00-07:00,2310.0,885.0,30.6836618306992,-75.5024343314341,75.75092068723256,0.40572537153853455
2018-01-02 15:30:00-07:00,2370.0,794.0,45.6836618306992,-75.5024343314341,75.75092068723256,0.60406807935019
2018-01-02 16:30:00-07:00,2430.0,592.0,60.6836618306992,-75.5024343314341,75.75092068723256,0.8024107871618456
2018-01-03 07:30:00-07:00,3330.0,0.0,-74.42699173732996,-75.57116751012994,75.82579110213675,-0.9832032614068593
2018-01-03 08:30:00-07:00,3390.0,631.0,-59.42699173732993,-75.57116751012994,75.82579110213675,-0.7850486863415095
2018-01-03 09:30:00-07:00,3450.0,820.0,-44.426991737329956,-75.57116751012994,75.82579110213675,-0.5868941112761604
2018-01-03 10:30:00-07:00,3510.0,902.0,-29.426991737329956,-75.57116751012994,75.82579110213675,-0.38873953621081103
2018-01-03 11:30:00-07:00,3570.0,938.0,-14.426991737329956,-75.57116751012994,75.82579110213675,-0.19058496114546164
2018-01-03 12:30:00-07:00,3630.0,951.0,0.5730082626700435,-75.57116751012994,75.82579110213675,0.007569613919887772
2018-01-03 13:30:00-07:00,3690.0,943.0,15.573008262670044,-75.57116751012994,75.82579110213675,0.2057241889852372
2018-01-03 14:30:00-07:00,3750.0,907.0,30.573008262670044,-75.57116751012994,75.82579110213675,0.4038787640505866
2018-01-03 15:30:00-07:00,3810.0,828.0,45.573008262670044,-75.57116751012994,75.82579110213675,0.602033339115936
2018-01-03 16:30:00-07:00,3870.0,643.0,60.573008262670044,-75.57116751012994,75.82579110213675,0.8001879141812854
2018-01-03 17:30:00-07:00,3930.0,0.0,75.57300826267004,-75.57116751012994,75.82579110213675,0.9983424892466348
2018-01-04 07:30:00-07:00,4770.0,0.0,-74.5364772952327,-75.64589265523269,75.90592116450064,-0.9836434868921037
2018-01-04 08:30:00-07:00,4830.0,648.0,-59.53647729523267,-75.64589265523269,75.90592116450064,-0.7856913856016221
2018-01-04 09:30:00-07:00,4890.0,838.0,-44.5364772952327,-75.64589265523269,75.90592116450064,-0.5877392843111413
2018-01-04 10:30:00-07:00,4950.0,927.0,-29.536477295232704,-75.64589265523269,75.90592116450064,-0.3897871830206602
2018-01-04 11:30:00-07:00,5010.0,966.0,-14.536477295232704,-75.64589265523269,75.90592116450064,-0.19183508173017896
2018-01-04 12:30:00-07:00,5070.0,978.0,0.4635227047672972,-75.64589265523269,75.90592116450064,0.006117019560302255
2018-01-04 13:30:00-07:00,5130.0,967.0,15.463522704767296,-75.64589265523269,75.90592116450064,0.20406912085078344
2018-01-04 14:30:00-07:00,5190.0,929.0,30.463522704767296,-75.64589265523269,75.90592116450064,0.4020212221412646
2018-01-04 15:30:00-07:00,5250.0,849.0,45.4635227047673,-75.64589265523269,75.90592116450064,0.5999733234317459
2018-01-04 16:30:00-07:00,5310.0,667.0,60.4635227047673,-75.64589265523269,75.90592116450064,0.797925424722227
2018-01-04 17:30:00-07:00,5370.0,0.0,75.4635227047673,-75.64589265523269,75.90592116450064,0.9958775260127083
2018-01-05 07:30:00-07:00,6210.0,0.0,-74.64469324688216,-75.7265414303488,75.99124650991789,-0.9839939569415652
2018-01-05 08:30:00-07:00,6270.0,622.0,-59.64469324688213,-75.7265414303488,75.99124650991789,-0.7862584085442247
2018-01-05 09:30:00-07:00,6330.0,807.0,-44.644693246882156,-75.7265414303488,75.99124650991789,-0.5885228601468848
