Date,Time,Clearsky DNI,Hour angle,Sunrise hour angle,Sunset hour angle,Normalised hour angle
2018-01-03 09:30:00-07:00,3450,812,-44.20461958,-75.34879536,76.04816326,-0.583956507
2018-01-03 10:30:00-07:00,3510,402,-29.20461958,-75.34879536,76.04816326,-0.385801932
2018-01-03 11:30:00-07:00,3570,543,-14.20461958,-75.34879536,76.04816326,-0.187647357
2018-01-03 12:30:00-07:00,3630,921,0.795380417,-75.34879536,76.04816326,0.010507218
2018-01-03 13:30:00-07:00,3690,332,15.79538042,-75.34879536,76.04816326,0.208661793
2018-01-03 14:30:00-07:00,3750,391,30.79538042,-75.34879536,76.04816326,0.406816368
2018-01-03 15:30:00-07:00,3810,343,45.79538042,-75.34879536,76.04816326,0.604970943
2018-01-03 16:30:00-07:00,3870,47,60.79538042,-75.34879536,76.04816326,0.803125518
2018-01-03 17:30:00-07:00,3930,0,75.79538042,-75.34879536,76.04816326,1.001280093
2018-01-03 18:30:00-07:00,3990,0,90.79538042,-75.34879536,76.04816326,1.199434668
2018-01-03 19:30:00-07:00,4050,0,105.7953804,-75.34879536,76.04816326,1.397589243
2018-01-03 20:30:00-07:00,4110,0,120.7953804,-75.34879536,76.04816326,1.595743818
2018-01-03 21:30:00-07:00,4170,0,135.7953804,-75.34879536,76.04816326,1.793898393
2018-01-03 22:30:00-07:00,4230,0,150.7953804,-75.34879536,76.04816326,1.992052969
2018-01-03 23:30:00-07:00,4290,0,165.7953804,-75.34879536,76.04816326,2.190207544
2018-01-04 00:30:00-07:00,4350,0,-179.2046196,-75.31403494,76.23777888,-2.364928734
2018-01-04 01:30:00-07:00,4410,0,-164.2046196,-75.31403494,76.23777888,-2.166976633
2018-01-04 02:30:00-07:00,4470,0,-149.2046196,-75.31403494,76.23777888,-1.969024531
2018-01-04 03:30:00-07:00,4530,0,-134.2046196,-75.31403494,76.23777888,-1.77107243
2018-01-04 04:30:00-07:00,4590,0,-119.2046196,-75.31403494,76.23777888,-1.573120329
2018-01-04 05:30:00-07:00,4650,0,-104.2046196,-75.31403494,76.23777888,-1.375168227
2018-01-04 06:30:00-07:00,4710,0,-89.20461958,-75.31403494,76.23777888,-1.177216126
2018-01-04 07:30:00-07:00,4770,0,-74.20461958,-75.31403494,76.23777888,-0.979264025
2018-01-04 08:30:00-07:00,4830,107,-59.20461958,-75.31403494,76.23777888,-0.781311924
2018-01-04 09:30:00-07:00,4890,485,-44.20461958,-75.31403494,76.23777888,-0.583359822
2018-01-04 10:30:00-07:00,4950,17,-29.20461958,-75.31403494,76.23777888,-0.385407721
2018-01-04 11:30:00-07:00,5010,374,-14.20461958,-75.31403494,76.23777888,-0.18745562
2018-01-04 12:30:00-07:00,5070,916,0.795380417,-75.31403494,76.23777888,0.010496482
2018-01-04 13:30:00-07:00,5130,904,15.79538042,-75.31403494,76.23777888,0.208448583
2018-01-04 14:30:00-07:00,5190,6,30.79538042,-75.31403494,76.23777888,0.406400684
2018-01-04 15:30:00-07:00,5250,769,45.79538042,-75.31403494,76.23777888,0.604352786
2018-01-04 16:30:00-07:00,5310,344,60.79538042,-75.31403494,76.23777888,0.802304887
2018-01-04 17:30:00-07:00,5370,0,75.79538042,-75.31403494,76.23777888,1.000256988
2018-01-04 18:30:00-07:00,5430,0,90.79538042,-75.31403494,76.23777888,1.198209089
2018-01-04 19:30:00-07:00,5490,0,105.7953804,-75.31403494,76.23777888,1.396161191
2018-01-04 20:30:00-07:00,5550,0,120.7953804,-75.31403494,76.23777888,1.594113292
2018-01-04 21:30:00-07:00,5610,0,135.7953804,-75.31403494,76.23777888,1.792065393
2018-01-04 22:30:00-07:00,5670,0,150.7953804,-75.31403494,76.23777888,1.990017495
2018-01-04 23:30:00-07:00,5730,0,165.7953804,-75.31403494,76.23777888,2.187969596
2018-01-05 00:30:00-07:00,5790,0,-179.2046196,-75.28646777,76.43132017,-2.362341582
2018-01-05 01:30:00-07:00,5850,0,-164.2046196,-75.28646777,76.43132017,-2.164606034
2018-01-05 02:30:00-07:00,5910,0,-149.2046196,-75.28646777,76.43132017,-1.966870485
2018-01-05 03:30:00-07:00,5970,0,-134.2046196,-75.28646777,76.43132017,-1.769134937
2018-01-05 04:30:00-07:00,6030,0,-119.2046196,-75.28646777,76.43132017,-1.571399388
2018-01-05 05:30:00-07:00,6090,0,-104.2046196,-75.28646777,76.43132017,-1.37366384
2018-01-05 06:30:00-07:00,6150,0,-89.20461958,-75.28646777,76.43132017,-1.175928292
2018-01-05 07:30:00-07:00,6210,0,-74.20461958,-75.28646777,76.43132017,-0.978192743
2018-01-05 08:30:00-07:00,6270,182,-59.20461958,-75.28646777,76.43132017,-0.780457195
2018-01-05 09:30:00-07:00,6330,57,-44.20461958,-75.28646777,76.43132017,-0.582721646
2018-01-05 10:30:00-07:00,6390,451,-29.20461958,-75.28646777,76.43132017,-0.384986098
2018-01-05 11:30:00-07:00,6450,346,-14.20461958,-75.28646777,76.43132017,-0.18725055
2018-01-05 12:30:00-07:00,6510,318,0.795380417,-75.28646777,76.43132017,0.010484999
2018-01-05 13:30:00-07:00,6570,271,15.79538042,-75.28646777,76.43132017,0.208220547
2018-01-05 14:30:00-07:00,6630,269,30.79538042,-75.28646777,76.43132017,0.405956096
2018-01-05 15:30:00-07:00,6690,177,45.79538042,-75.28646777,76.43132017,0.603691644
2018-01-05 16:30:00-07:00,6750,329,60.79538042,-75.28646777,76.43132017,0.801427192
2018-01-05 17:30:00-07:00,6810,0,75.79538042,-75.28646777,76.43132017,0.999162741
2018-01-05 18:30:00-07:00,6870,0,90.79538042,-75.28646777,76.43132017,1.196898289
2018-01-05 19:30:00-07:00,6930,0,105.7953804,-75.28646777,76.43132017,1.394633838
2018-01-05 20:30:00-07:00,6990,0,120.7953804,-75.28646777,76.43132017,1.592369386
2018-01-05 21:30:00-07:00,7050,0,135.7953804,-75.28646777,76.43132017,1.790104934
2018-01-05 22:30:00-07:00,7110,0,150.7953804,-75.28646777,76.43132017,1.987840483
2018-01-05 23:30:00-07:00,7170,0,165.7953804,-75.28646777,76.43132017,2.185576031
2018-01-06 00:30:00-07:00,7230,0,-179.2046196,-75.26612323,76.6286182,-2.359589514
2018-01-06 01:30:00-07:00,7290,0,-164.2046196,-75.26612323,76.6286182,-2.162084323
2018-01-06 02:30:00-07:00,7350,0,-149.2046196,-75.26612323,76.6286182,-1.964579131
2018-01-06 03:30:00-07:00,7410,0,-134.2046196,-75.26612323,76.6286182,-1.76707394
2018-01-06 04:30:00-07:00,7470,0,-119.2046196,-75.26612323,76.6286182,-1.569568748
2018-01-06 05:30:00-07:00,7530,0,-104.2046196,-75.26612323,76.6286182,-1.372063557
