scaling,ProbabilityWeight,PointProbability,prefix,filename
1.0,1.0,1.0,1,synData_0.csv
1.0,1.0,1.0,2,synData_1.csv
1.0,1.0,1.0,3,synData_2.csv
1.0,1.0,1.0,4,synData_3.csv
1.0,1.0,1.0,5,synData_4.csv
