Hour,Efficiency
0,1.095884
1,1.10066
2,1.1024720000000001
3,1.103632
4,1.104624
5,1.1055439999999999
6,1.106336
7,1.107028
8,1.107628
9,1.108144
10,1.1086
11,1.109044
12,1.109404
13,1.109632
14,1.109804
15,1.1080480000000001
16,1.10364
17,1.099396
18,1.095184
19,1.092252
20,1.090556
21,1.0899159999999999
22,1.090232
23,1.091792
