time,process,process_on,process_status,w_dot_gen_kWe,elec_sold_kWe,price_elec,m_dot_hpt,m_dot_extract,hot_TES_inventory,cold_TES_inventory,v_dot_in_m3hr,capacity_m3day
1,RO,0,OFF,0.0,0.0,-0.03558811,33.16429200379884,11.974962219125356,8982053.261616241,70.8890476489405,0.0,0.0
1,MED,0,OFF,0.0,0.0,-0.03558811,33.16429200379884,11.974962219125356,8982053.261616241,70.8890476489405,0.0,0.0
1,ED,0,OFF,0.0,0.0,-0.03558811,33.16429200379884,11.974962219125356,8982053.261616241,70.8890476489405,0.0,0.0
1,CRY,0,OFF,0.0,0.0,-0.03558811,33.16429200379884,11.974962219125356,8982053.261616241,70.8890476489405,0.0,0.0
2,RO,0,OFF,0.0,0.0,-0.03351106,33.16432011992459,11.975124718239261,17964105.91276559,141.77905725560728,0.0,0.0
2,MED,0,OFF,0.0,0.0,-0.03351106,33.16432011992459,11.975124718239261,17964105.91276559,141.77905725560728,0.0,0.0
2,ED,0,OFF,0.0,0.0,-0.03351106,33.16432011992459,11.975124718239261,17964105.91276559,141.77905725560728,0.0,0.0
2,CRY,0,OFF,0.0,0.0,-0.03351106,33.16432011992459,11.975124718239261,17964105.91276559,141.77905725560728,0.0,0.0
3,RO,0,OFF,0.0,0.0,-0.034731000000000005,33.16432132889728,11.975131705581408,26946158.537665308,212.66910822574738,0.0,0.0
3,MED,0,OFF,0.0,0.0,-0.034731000000000005,33.16432132889728,11.975131705581408,26946158.537665308,212.66910822574738,0.0,0.0
3,ED,0,OFF,0.0,0.0,-0.034731000000000005,33.16432132889728,11.975131705581408,26946158.537665308,212.66910822574738,0.0,0.0
3,CRY,0,OFF,0.0,0.0,-0.034731000000000005,33.16432132889728,11.975131705581408,26946158.537665308,212.66910822574738,0.0,0.0
4,RO,0,OFF,0.0,0.0,-0.03399696,33.16432020829706,11.97512522899407,35928211.186895885,283.5591208559662,0.0,0.0
4,MED,0,OFF,0.0,0.0,-0.03399696,33.16432020829706,11.97512522899407,35928211.186895885,283.5591208559662,0.0,0.0
4,ED,0,OFF,0.0,0.0,-0.03399696,33.16432020829706,11.97512522899407,35928211.186895885,283.5591208559662,0.0,0.0
