Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,102574,-,-,-,35.93,-115.26,-8,1021,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Relative Humidity,Temperature,Pressure,
2012,1,1,0,0,0,0,0,0,0,0,0,-12,166.66,0.218,2.4000000000000004,0.447,32.27,2,900,N/A
2012,1,1,0,30,0,0,0,0,0,0,0,-12,163.74,0.218,2.5,0.452,32.27,2,900,N/A
2012,1,1,1,0,0,0,0,0,0,0,0,-12,159.14000000000001,0.218,2.6,0.458,32.32,2,900,N/A
2012,1,1,1,30,0,0,0,0,0,0,0,-12,153.75,0.218,2.7,0.462,32.32,1,900,N/A
2012,1,1,2,0,0,0,0,0,0,0,0,-12,147.98,0.218,2.8000000000000003,0.466,33,1,900,N/A
2012,1,1,2,30,0,0,0,0,0,0,0,-12,142.03,0.218,2.8000000000000003,0.468,35.45,1,900,N/A
2012,1,1,3,0,0,0,0,0,0,0,0,-12,135.99,0.218,2.9000000000000004,0.47100000000000003,36.62,1,900,N/A
2012,1,1,3,30,0,0,0,0,0,0,0,-12,129.92000000000002,0.218,2.8000000000000003,0.47100000000000003,36.63,1,900,N/A
2012,1,1,4,0,0,0,0,0,0,0,0,-11,123.86,0.218,2.8000000000000003,0.47200000000000003,37.88,1,900,N/A
2012,1,1,4,30,0,0,0,0,0,0,0,-11,117.84,0.218,2.7,0.47000000000000003,37.89,0,900,N/A
2012,1,1,5,0,0,0,0,0,0,0,0,-11,111.89,0.218,2.6,0.46900000000000003,38.81,0,900,N/A
2012,1,1,5,30,0,0,0,0,0,0,1,-11,106.03,0.218,2.5,0.467,38.82,0,900,N/A
2012,1,1,6,0,0,0,0,0,0,0,0,-11,100.29,0.218,2.4000000000000004,0.466,38.96,0,900,N/A
2012,1,1,6,30,0,0,0,0,0,0,0,-11,94.71000000000001,0.218,2.5,0.46900000000000003,36.29,1,900,N/A
2012,1,1,7,0,0,0,0,0,0,0,0,-11,89.31,0.218,2.7,0.47300000000000003,34.13,2,900,N/A
2012,1,1,7,30,29,504,80,29,504,80,0,-11,84.15,0.218,3.5,0.48,29.67,4,910,N/A
2012,1,1,8,0,42,679,168,42,679,168,0,-12,79.26,0.218,4.4,0.487,24.3,6,910,N/A
2012,1,1,8,30,51,781,256,51,781,256,0,-12,74.72,0.218,4.6000000000000005,0.492,22.7,7,910,N/A
2012,1,1,9,0,57,849,339,57,849,339,0,-12,70.59,0.218,4.800000000000001,0.498,18.71,9,910,N/A
2012,1,1,9,30,61,893,411,61,893,411,0,-12,66.96000000000001,0.218,4.800000000000001,0.502,17.5,10,910,N/A
2012,1,1,10,0,64,925,471,64,925,471,0,-13,63.9,0.218,4.9,0.506,15.48,12,910,N/A
2012,1,1,10,30,67,945,518,67,945,518,0,-13,61.5,0.218,4.800000000000001,0.509,14.49,13,910,N/A
2012,1,1,11,0,68,958,549,68,958,549,0,-14,59.86,0.218,4.800000000000001,0.513,12.870000000000001,14,900,N/A
2012,1,1,11,30,69,964,565,69,964,565,0,-14,59.02,0.218,4.7,0.516,12.06,14,900,N/A
2012,1,1,12,0,69,963,565,69,963,565,0,-14,59.04,0.218,4.7,0.519,10.88,15,900,N/A
2012,1,1,12,30,68,957,548,68,957,548,0,-14,59.89,0.218,4.6000000000000005,0.514,10.88,15,900,N/A
2012,1,1,13,0,64,953,518,64,953,518,0,-14,61.56,0.218,4.5,0.509,10.03,16,900,N/A
2012,1,1,13,30,61,933,471,61,933,471,0,-14,63.980000000000004,0.218,4.3,0.5,10.68,16,900,N/A
2012,1,1,14,0,58,903,411,58,903,411,0,-14,67.05,0.218,4.2,0.491,10.92,16,900,N/A
2012,1,1,14,30,54,860,338,54,860,338,0,-14,70.71000000000001,0.218,3.1,0.483,11.64,14,900,N/A
2012,1,1,15,0,48,793,256,48,793,256,0,-10,74.85000000000001,0.218,2.1,0.47600000000000003,16.7,13,900,N/A
2012,1,1,15,30,40,691,167,40,691,167,0,-10,79.4,0.218,2,0.47000000000000003,20.330000000000002,10,900,N/A
2012,1,1,16,0,27,518,79,27,518,79,0,-10,84.29,0.218,1.9000000000000001,0.465,24.98,8,900,N/A
2012,1,1,16,30,0,0,0,0,0,0,0,-10,89.46000000000001,0.218,2,0.46,26.72,7,900,N/A
2012,1,1,17,0,0,0,0,0,0,0,0,-10,94.86,0.218,2.1,0.456,27,6,900,N/A
2012,1,1,17,30,0,0,0,0,0,0,0,-10,100.45,0.218,2.1,0.452,28.93,6,900,N/A
2012,1,1,18,0,0,0,0,0,0,0,0,-11,106.2,0.218,2.1,0.448,28.28,6,900,N/A
2012,1,1,18,30,0,0,0,0,0,0,0,-11,112.06,0.218,2.1,0.445,28.29,6,900,N/A
2012,1,1,19,0,0,0,0,0,0,0,0,-11,118.01,0.218,2.2,0.442,28.03,6,900,N/A
2012,1,1,19,30,0,0,0,0,0,0,0,-11,124.03,0.218,2.2,0.439,28.03,5,900,N/A
2012,1,1,20,0,0,0,0,0,0,0,0,-11,130.09,0.218,2.3000000000000003,0.437,28.23,5,900,N/A
2012,1,1,20,30,0,0,0,0,0,0,0,-11,136.16,0.218,2.3000000000000003,0.432,30.26,5,900,N/A
2012,1,1,21,0,0,0,0,0,0,0,0,-10,142.20000000000002,0.218,2.4000000000000004,0.428,30.84,5,900,N/A
2012,1,1,21,30,0,0,0,0,0,0,0,-10,148.14000000000001,0.218,2.5,0.421,30.84,4,900,N/A
2012,1,1,22,0,0,0,0,0,0,0,0,-10,153.89000000000001,0.218,2.6,0.41400000000000003,31.57,4,900,N/A
2012,1,1,22,30,0,0,0,0,0,0,0,-10,159.26,0.218,2.6,0.405,33.86,4,900,N/A
2012,1,1,23,0,0,0,0,0,0,0,0,-10,163.8,0.218,2.7,0.397,34.45,4,900,N/A
2012,1,1,23,30,0,0,0,0,0,0,0,-10,166.63,0.218,2.7,0.388,34.45,3,900,N/A
2012,1,2,0,0,0,0,0,0,0,0,0,-10,166.61,0.218,2.7,0.38,34.29,3,900,N/A
2012,1,2,0,30,0,0,0,0,0,0,0,-10,163.73,0.218,2.7,0.373,36.79,2,900,N/A
2012,1,2,1,0,0,0,0,0,0,0,0,-10,159.17000000000002,0.218,2.8000000000000003,0.366,35.800000000000004,2,900,N/A
2012,1,2,1,30,0,0,0,0,0,0,0,-10,153.79,0.218,2.7,0.361,35.79,2,900,N/A
2012,1,2,2,0,0,0,0,0,0,0,0,-11,148.03,0.218,2.7,0.356,34.6,2,900,N/A
2012,1,2,2,30,0,0,0,0,0,0,0,-11,142.08,0.218,2.6,0.353,34.6,2,900,N/A
2012,1,2,3,0,0,0,0,0,0,0,0,-11,136.05,0.218,2.6,0.35100000000000003,33.74,2,900,N/A
2012,1,2,3,30,0,0,0,0,0,0,0,-11,129.98,0.218,2.5,0.34900000000000003,36.21,2,900,N/A
2012,1,2,4,0,0,0,0,0,0,0,0,-11,123.92,0.218,2.4000000000000004,0.34700000000000003,35.75,2,900,N/A
2012,1,2,4,30,0,0,0,0,0,0,0,-11,117.89,0.218,2.4000000000000004,0.34500000000000003,35.75,2,900,N/A
2012,1,2,5,0,0,0,0,0,0,0,0,-11,111.94,0.218,2.4000000000000004,0.343,35.480000000000004,2,900,N/A
2012,1,2,5,30,0,0,0,0,0,0,0,-11,106.08,0.218,2.3000000000000003,0.341,35.480000000000004,1,900,N/A
