"Time stamp","System power generated | (kW)","TES charge state | (MWht)","PPA price multiplier"
"Jan 5, 08:00 pm",116918,1330.14,1.63461
"Jan 5, 09:00 pm",117122,1095.34,1.53233
"Jan 5, 10:00 pm",117206,860.569,1.37051
"Jan 5, 11:00 pm",117229,625.846,1.31894
"Jan 6, 12:00 am",117219,391.201,1.244
"Jan 6, 01:00 am",117216,156.693,1.1556
"Jan 6, 02:00 am",83088.2,0,1.14421
"Jan 6, 03:00 am",-607.2,0,1.08343
"Jan 6, 04:00 am",-607.2,0,1.09174
"Jan 6, 05:00 am",-607.2,0,1.14183
"Jan 6, 06:00 am",-607.2,0,1.15991
"Jan 6, 07:00 am",-607.2,0,1.224
"Jan 6, 08:00 am",-4445.4,0,1.162
"Jan 6, 09:00 am",71462.6,184.909,1.11106
"Jan 6, 10:00 am",106626,488.819,1.03937
"Jan 6, 11:00 am",104126,848.401,0.928595
"Jan 6, 12:00 pm",103073,1224.67,0.780998
"Jan 6, 01:00 pm",103098,1588.78,0.732405
"Jan 6, 02:00 pm",105025,1911.3,0.816242
"Jan 6, 03:00 pm",108584,2129.67,0.927558
"Jan 6, 04:00 pm",112598,2140.8,1.09384
"Jan 6, 05:00 pm",116561,1905.93,1.2575
"Jan 6, 06:00 pm",116925,1671.08,1.48048
"Jan 6, 07:00 pm",117025,1436.24,1.53284
"Jan 6, 08:00 pm",117124,1201.43,1.46698
"Jan 6, 09:00 pm",117180,966.638,1.39055
"Jan 6, 10:00 pm",117203,731.891,1.27902
"Jan 6, 11:00 pm",117194,497.206,1.13954
"Jan 7, 12:00 am",117213,262.625,1.11093
"Jan 7, 01:00 am",117206,28.2576,1.1454
"Jan 7, 02:00 am",14280.3,0,1.09537
"Jan 7, 03:00 am",-607.2,0,1.06014
"Jan 7, 04:00 am",-607.2,0,1.09583
"Jan 7, 05:00 am",-607.2,0,1.14822
"Jan 7, 06:00 am",-607.2,0,1.29313
"Jan 7, 07:00 am",-607.2,0,1.53219
"Jan 7, 08:00 am",-4338.64,0,1.86471
"Jan 7, 09:00 am",66566.9,170.569,1.33616
"Jan 7, 10:00 am",107341,459.606,1.34143
"Jan 7, 11:00 am",104221,825.065,1.29359
"Jan 7, 12:00 pm",103296,1206.24,1.22407
