,Efficiency
450,1.0891
451,1.08514
452,1.08298
453,1.08154
454,1.08118
455,1.0819
456,1.08694
457,1.0927
458,1.09486
459,1.0963
460,1.09846
461,1.10026
462,1.10098
463,1.1017
464,1.1017
465,1.10206
466,1.1017
467,1.10206
468,1.10278
469,1.10314
470,1.1035
471,1.1017
472,1.09486
473,1.0891
474,1.08298
475,1.07866
476,1.0750600000000001
477,1.07362
478,1.07398
479,1.0765
480,1.08478
481,1.09162
482,1.09486
483,1.09702
484,1.09882
485,1.10026
486,1.10134
487,1.10278
488,1.10386
489,1.10458
490,1.1053
491,1.10566
492,1.10602
493,1.10638
494,1.10566
495,1.1035
496,1.0963
497,1.0912600000000001
498,1.08406
499,1.08118
500,1.0808200000000001
501,1.08118
502,1.08298
503,1.08622
504,1.09378
505,1.1017
506,1.10386
507,1.10494
508,1.10638
509,1.10818
510,1.10926
511,1.10818
512,1.1071
513,1.10638
514,1.10674
515,1.10638
516,1.10602
517,1.10638
518,1.10638
519,1.10566
520,1.10422
521,1.10278
522,1.10098
523,1.0999
524,1.09882
525,1.09846
526,1.09954
527,1.1017
528,1.10458
529,1.10602
530,1.10638
531,1.1071
532,1.10854
533,1.10962
534,1.11034
535,1.1107
536,1.11142
537,1.11178
538,1.1125
539,1.11286
540,1.11286
541,1.1125
542,1.1125
543,1.11178
544,1.1107
545,1.10926
546,1.1071
547,1.10494
548,1.1035
549,1.10242
550,1.1017
551,1.1017
552,1.10386
553,1.1089
554,1.11034
555,1.11142
556,1.11214
557,1.11286
558,1.11358
559,1.11394
560,1.11394
561,1.11466
562,1.11538
563,1.11646
564,1.11754
565,1.11826
566,1.11862
567,1.11538
568,1.11034
569,1.10638
570,1.10314
571,1.1017
572,1.1017
573,1.10206
574,1.10278
575,1.10422
576,1.10746
577,1.1107
578,1.11214
579,1.1125
580,1.11106
581,1.10998
582,1.1107
583,1.1125
584,1.11466
585,1.11538
586,1.11574
587,1.11646
588,1.11718
589,1.11754
590,1.11754
591,1.11718
592,1.11646
593,1.11502
594,1.1125
595,1.11034
596,1.10926
597,1.10854
598,1.1089
599,1.10998
600,1.11214
601,1.11466
602,1.1161
603,1.11682
604,1.11718
605,1.11718
606,1.11754
607,1.1179000000000001
608,1.11862
609,1.11934
610,1.12078
611,1.12222
612,1.12366
613,1.12438
614,1.12402
615,1.12186
616,1.11538
617,1.11178
618,1.10818
619,1.1053
620,1.10386
621,1.10386
622,1.10458
623,1.10602
624,1.1089
625,1.11286
626,1.11286
627,1.11214
628,1.11178
629,1.11178
630,1.11178
631,1.11142
632,1.1107
633,1.10926
634,1.10782
635,1.10602
636,1.10494
637,1.10422
638,1.1035
639,1.10314
640,1.10242
641,1.1017
642,1.10062
643,1.0999
644,1.0999
645,1.09954
646,1.09918
647,1.09918
648,1.09918
649,1.09954
650,1.09954
651,1.0999
652,1.0999
653,1.0999
654,1.0999
655,1.10026
656,1.10026
657,1.10062
658,1.10098
659,1.10134
660,1.10134
661,1.10134
662,1.10134
663,1.10098
664,1.10062
665,1.10062
666,1.10134
667,1.10242
668,1.10386
669,1.1053
670,1.10638
671,1.1071
672,1.10782
673,1.10854
674,1.10854
675,1.10926
676,1.10818
677,1.10674
678,1.10566
679,1.10638
680,1.10782
681,1.1089
682,1.10962
683,1.11034
684,1.11178
685,1.11322
686,1.11394
687,1.11394
688,1.1125
689,1.11106
690,1.1089
691,1.10746
692,1.10638
693,1.1053
694,1.10494
695,1.10494
696,1.10566
697,1.1071
698,1.10746
699,1.10746
700,1.10782
701,1.10818
702,1.1089
703,1.10926
704,1.10998
705,1.11106
706,1.1125
707,1.11358
708,1.1143
709,1.11538
710,1.1161
711,1.11394
712,1.1089
713,1.1035
714,1.09918
715,1.09666
716,1.09558
717,1.09522
718,1.09594
719,1.09738
720,1.10062
721,1.10602
722,1.1071
723,1.10674
724,1.10746
725,1.10818
726,1.10818
727,1.10854
728,1.10926
729,1.10998
730,1.1107
731,1.1107
732,1.11214
733,1.11214
734,1.11142
735,1.1089
736,1.1035
737,1.10026
738,1.09702
739,1.0941400000000001
740,1.09306
741,1.09162
742,1.0909
743,1.09162
744,1.0941400000000001
745,1.09594
746,1.09738
747,1.09954
748,1.10098
749,1.10134
750,1.10206
751,1.10242
752,1.10314
753,1.10458
754,1.10566
755,1.1053
756,1.10458
757,1.10494
758,1.10566
759,1.10422
760,1.09918
761,1.09594
762,1.09342
763,1.09198
764,1.09198
765,1.0927
766,1.09342
767,1.09486
768,1.0981
769,1.10314
770,1.10422
771,1.10458
772,1.10494
773,1.10458
774,1.10422
775,1.10386
776,1.1035
777,1.10314
778,1.1035
779,1.1035
780,1.10314
781,1.1035
782,1.10386
783,1.1017
784,1.0981
785,1.09486
786,1.09234
787,1.09054
788,1.08982
789,1.09018
790,1.09054
791,1.09162
792,1.0941400000000001
793,1.09882
794,1.10062
795,1.1017
796,1.10206
797,1.10242
798,1.10386
799,1.10494
800,1.10602
801,1.10818
802,1.10962
803,1.11142
804,1.11286
805,1.1143
806,1.11574
807,1.11286
808,1.10782
809,1.10242
810,1.09738
811,1.0941400000000001
812,1.09234
813,1.09198
814,1.0927
815,1.0945
816,1.09882
817,1.1053
818,1.1071
819,1.10818
820,1.10926
821,1.1107
822,1.11178
823,1.11322
824,1.1143
825,1.11502
826,1.11538
827,1.11538
828,1.11502
829,1.11538
830,1.1161
831,1.1143
832,1.1107
833,1.10566
834,1.10026
835,1.0963
836,1.09378
837,1.0927
838,1.09198
839,1.09306
840,1.0963
841,1.10314
842,1.1053
843,1.10674
844,1.10818
845,1.11034
846,1.11214
847,1.11394
848,1.11538
849,1.1161
850,1.11682
851,1.11718
852,1.11718
853,1.11682
854,1.11682
855,1.11322
856,1.10746
857,1.10134
858,1.09522
859,1.09162
860,1.0891
861,1.0873
862,1.08658
863,1.08766
864,1.09234
865,1.09954
866,1.10206
867,1.10386
868,1.1053
869,1.10674
870,1.10818
871,1.1089
872,1.10998
873,1.1107
874,1.11178
875,1.11286
876,1.11358
877,1.1143
878,1.11466
879,1.11034
880,1.1035
881,1.09774
882,1.09162
883,1.0873
884,1.08478
885,1.0837
886,1.08406
887,1.0855
888,1.0909
889,1.0981
890,1.10134
891,1.10278
892,1.10386
893,1.1053
894,1.10638
895,1.10782
896,1.1089
897,1.10998
898,1.11142
899,1.11214
900,1.11142
901,1.1107
902,1.11106
903,1.1089
904,1.10314
905,1.09846
906,1.0927
907,1.0891
908,1.08658
909,1.08514
910,1.08514
911,1.0873
912,1.09234
913,1.09882
914,1.10134
915,1.10278
916,1.10386
917,1.1053
918,1.1071
919,1.10818
920,1.10926
921,1.11034
922,1.11106
923,1.1107
924,1.11142
925,1.11286
926,1.11466
927,1.11214
928,1.10494
929,1.10026
930,1.09486
931,1.0927
932,1.09306
933,1.0945
934,1.09594
935,1.09738
936,1.10026
937,1.1053
938,1.10602
939,1.10638
940,1.1071
941,1.10818
942,1.1089
943,1.1089
944,1.10926
